center_x,center_y,left_distance,right_distance
1.094026168062022819e+01,1.630265025097809328e+01,1.050000000000000044e+00,7.750000000000000222e-01
1.092327110460571049e+01,1.625919693208380679e+01,1.000000000000000000e+00,7.750000000000000222e-01
1.089616550353654567e+01,1.621679608070195400e+01,1.025000000000000133e+00,7.750000000000000222e-01
1.087574567722953667e+01,1.617552668885327449e+01,1.000000000000000000e+00,3.600000000000000089e+00
1.085376107527008926e+01,1.613564317804558357e+01,9.750000000000000888e-01,8.500000000000000888e-01
1.083017529461109163e+01,1.609739675726334696e+01,1.050000000000000044e+00,8.000000000000000444e-01
1.079649523688308399e+01,1.606085390475196206e+01,1.050000000000000044e+00,7.750000000000000222e-01
1.076115939909985642e+01,1.602614761728629134e+01,1.074999999999999956e+00,8.000000000000000444e-01
1.072422071686692746e+01,1.599339401818441253e+01,1.150000000000000133e+00,7.750000000000000222e-01
1.068582633922538250e+01,1.597119850095761784e+01,1.225000000000000089e+00,8.000000000000000444e-01
1.064596235642650157e+01,1.594275580392014646e+01,1.300000000000000044e+00,7.750000000000000222e-01
1.060473222744254684e+01,1.592492635984440597e+01,1.325000000000000178e+00,8.250000000000000666e-01
1.056224822501553362e+01,1.590092737679740509e+01,1.450000000000000178e+00,8.000000000000000444e-01
1.051862724646550618e+01,1.588756161700488789e+01,1.525000000000000133e+00,7.750000000000000222e-01
1.047406553860778544e+01,1.586809310330928469e+01,1.525000000000000133e+00,8.250000000000000666e-01
1.042858055602804690e+01,1.586759952737907042e+01,1.350000000000000089e+00,9.500000000000000666e-01
1.038229055220483588e+01,1.586078755022996489e+01,1.350000000000000089e+00,8.000000000000000444e-01
1.033530652848496878e+01,1.585595549598260945e+01,1.300000000000000044e+00,8.000000000000000444e-01
1.028780762761833678e+01,1.585308519523114157e+01,1.250000000000000000e+00,7.500000000000000000e-01
1.023978610459859340e+01,1.585196710685827171e+01,1.150000000000000133e+00,8.000000000000000444e-01
1.019132832166050484e+01,1.586096779092042297e+01,1.100000000000000089e+00,8.000000000000000444e-01
1.014250970224378712e+01,1.586306036129483488e+01,1.100000000000000089e+00,7.500000000000000000e-01
1.009347284551792434e+01,1.586661138593223441e+01,1.050000000000000044e+00,7.500000000000000000e-01
1.004425100087292755e+01,1.587140904033070932e+01,9.500000000000000666e-01,7.500000000000000000e-01
9.994874077748445274e+00,1.588572665290370978e+01,1.000000000000000000e+00,7.000000000000000666e-01
9.945368328638776845e+00,1.589266051832537130e+01,1.000000000000000000e+00,7.500000000000000000e-01
9.895757142082208802e+00,1.590052506584745728e+01,9.500000000000000666e-01,7.750000000000000222e-01
9.846060673726194423e+00,1.590913308094885714e+01,9.000000000000000222e-01,8.000000000000000444e-01
9.796296072352532747e+00,1.591858642278053537e+01,8.750000000000000000e-01,8.250000000000000666e-01
9.746477751316110272e+00,1.593703706955017552e+01,8.750000000000000000e-01,7.750000000000000222e-01
9.696617400785772389e+00,1.594768489610056150e+01,8.500000000000000888e-01,8.000000000000000444e-01
9.646725031035714437e+00,1.595868473829499479e+01,8.500000000000000888e-01,8.000000000000000444e-01
9.596808769795639904e+00,1.597006675469116921e+01,7.750000000000000222e-01,8.250000000000000666e-01
9.546875712523464230e+00,1.599026029152755868e+01,8.250000000000000666e-01,8.250000000000000666e-01
9.496931223739119687e+00,1.600230397547733219e+01,7.750000000000000222e-01,8.250000000000000666e-01
9.446980247403161002e+00,1.602292681829680987e+01,7.750000000000000222e-01,8.750000000000000000e-01
9.397027056668983747e+00,1.603516388770641754e+01,8.250000000000000666e-01,8.250000000000000666e-01
9.347075501917201379e+00,1.605594793303408352e+01,7.750000000000000222e-01,8.250000000000000666e-01
9.297128933838479270e+00,1.606831645659537244e+01,7.500000000000000000e-01,8.500000000000000888e-01
9.247190822539494093e+00,1.608059983011008143e+01,7.750000000000000222e-01,8.250000000000000666e-01
9.197264828319648089e+00,1.610105522359521757e+01,7.500000000000000000e-01,8.750000000000000000e-01
9.147354854154864157e+00,1.611291040051399648e+01,7.500000000000000000e-01,9.000000000000000222e-01
9.097465077631612829e+00,1.612460969871941074e+01,7.250000000000000888e-01,9.250000000000000444e-01
9.047599959016270788e+00,1.614442726646679205e+01,7.250000000000000888e-01,9.250000000000000444e-01
8.997764224464150473e+00,1.615550816109898591e+01,7.000000000000000666e-01,9.500000000000000666e-01
8.947962824821884098e+00,1.616613546737531237e+01,7.000000000000000666e-01,9.500000000000000666e-01
8.898200868936219976e+00,1.617647341080413526e+01,6.500000000000000222e-01,1.000000000000000000e+00
8.848484071667003903e+00,1.618651256092601187e+01,7.250000000000000888e-01,9.750000000000000888e-01
8.798924090510002571e+00,1.620444256197027499e+01,6.750000000000000444e-01,9.750000000000000888e-01
8.749456837244039775e+00,1.621331115619205221e+01,7.000000000000000666e-01,1.050000000000000044e+00
8.700096973287523738e+00,1.622164948519183270e+01,6.500000000000000222e-01,1.100000000000000089e+00
8.650859457981077583e+00,1.622921382996558393e+01,6.500000000000000222e-01,1.074999999999999956e+00
8.601759868047075486e+00,1.624451173513623203e+01,7.000000000000000666e-01,1.050000000000000044e+00
8.552813056986938278e+00,1.625046692703926254e+01,7.000000000000000666e-01,1.150000000000000133e+00
8.504032730313136668e+00,1.625556271527124252e+01,7.000000000000000666e-01,1.200000000000000178e+00
8.455431215351355334e+00,1.625958671759069318e+01,7.000000000000000666e-01,1.200000000000000178e+00
8.407018006081628414e+00,1.626231911962909749e+01,7.500000000000000000e-01,1.200000000000000178e+00
8.358799962663182370e+00,1.627211469287817636e+01,8.000000000000000444e-01,1.250000000000000000e+00
8.310780167882425573e+00,1.627200996236002339e+01,7.500000000000000000e-01,1.400000000000000133e+00
8.262958063295258171e+00,1.627017846833048154e+01,7.500000000000000000e-01,1.450000000000000178e+00
