center_x,center_y,left_distance,right_distance
9.600000000000001421e+00,1.285000000000000142e+01,1.346357008025580893e+00,1.196870715674269059e+00
9.600000000000001421e+00,1.270000000000000107e+01,1.349268421306453192e+00,1.231502875158188237e+00
9.600000000000001421e+00,1.255000000000000071e+01,1.352039196262326382e+00,1.264399409553449871e+00
9.600000000000001421e+00,1.240000000000000036e+01,1.354670604717560289e+00,1.295595107024871906e+00
9.600000000000001421e+00,1.225000000000000000e+01,1.357163918496516297e+00,1.325124755737272952e+00
9.600000000000001421e+00,1.210000000000000142e+01,1.359520409423552234e+00,1.353023143855471178e+00
9.600000000000001421e+00,1.195000000000000107e+01,1.361741349323030148e+00,1.379325059544284970e+00
9.600000000000001421e+00,1.180000000000000071e+01,1.363828010019308312e+00,1.404065290968532720e+00
9.600000000000001421e+00,1.165000000000000036e+01,1.365781663336746776e+00,1.427278626293032593e+00
9.600000000000001421e+00,1.150000000000000000e+01,1.367603581099706256e+00,1.448999853682602978e+00
9.600000000000001421e+00,1.135000000000000142e+01,1.369295035132545912e+00,1.469263761302062266e+00
9.600000000000001421e+00,1.120000000000000107e+01,1.370857297259626240e+00,1.488105137316228621e+00
9.600000000000001421e+00,1.105000000000000071e+01,1.372291639305307065e+00,1.505558769889920434e+00
9.600000000000001421e+00,1.090000000000000036e+01,1.373599333093946440e+00,1.521659447187955871e+00
9.600000000000001421e+00,1.075000000000000000e+01,1.374781650449907522e+00,1.536441957375153766e+00
9.600000000000001421e+00,1.060000000000000142e+01,1.375839863197547475e+00,1.549941088616331397e+00
9.600000000000001421e+00,1.045000000000000107e+01,1.376775243161227680e+00,1.562191629076308264e+00
9.600000000000001421e+00,1.030000000000000071e+01,1.377589062165307521e+00,1.573228366919901866e+00
9.600000000000001421e+00,1.015000000000000036e+01,1.378282592034145715e+00,1.583086090311930816e+00
9.600000000000001421e+00,1.000000000000000000e+01,1.378857104592104754e+00,1.591799587417213280e+00
9.600000000000001421e+00,9.850000000000001421e+00,1.379313871663542690e+00,1.599403646400567869e+00
9.700000000000001066e+00,9.700000000000001066e+00,1.379708838760618228e+00,1.607123764638236363e+00
9.850000000000001421e+00,9.550000000000000711e+00,1.379961132136649615e+00,1.614301973684320712e+00
1.000000000000000000e+01,9.400000000000000355e+00,1.379987132536171890e+00,1.619512898946532609e+00
1.005000000000000071e+01,9.250000000000000000e+00,1.379861459766288823e+00,1.622175831745394703e+00
1.005000000000000071e+01,9.099999999999999645e+00,1.379629230033615483e+00,1.623779411892853908e+00
1.005000000000000071e+01,8.950000000000001066e+00,1.379288264888893112e+00,1.624520006153171936e+00
1.005000000000000071e+01,8.800000000000000711e+00,1.378839836156481535e+00,1.624432402691167621e+00
1.005000000000000071e+01,8.650000000000000355e+00,1.378285215660740803e+00,1.623551389671658907e+00
1.005000000000000071e+01,8.500000000000000000e+00,1.377625675226030300e+00,1.621911755259464405e+00
1.005000000000000071e+01,8.349999999999999645e+00,1.376862486676710962e+00,1.619548287619402283e+00
1.005000000000000071e+01,8.200000000000001066e+00,1.375996921837142395e+00,1.616495774916290706e+00
1.005000000000000071e+01,8.050000000000000711e+00,1.375030252531684205e+00,1.612789005314948287e+00
1.005000000000000071e+01,7.900000000000000355e+00,1.373963750584696220e+00,1.608462766980193193e+00
1.005000000000000071e+01,7.750000000000000000e+00,1.372798687820538266e+00,1.603551848076843589e+00
1.005000000000000071e+01,7.600000000000000533e+00,1.371536336063570394e+00,1.598091036769717865e+00
1.005000000000000071e+01,7.450000000000000178e+00,1.370177967138152875e+00,1.592115121223634411e+00
1.005000000000000071e+01,7.300000000000000711e+00,1.368724852868645314e+00,1.585658889603411614e+00
1.005000000000000071e+01,7.150000000000000355e+00,1.367178265079406874e+00,1.578757130073867421e+00
9.900000000000000355e+00,7.000000000000000000e+00,1.364833961284938502e+00,1.568303591188887847e+00
9.750000000000000000e+00,6.850000000000000533e+00,1.362308851362246331e+00,1.557126968603894879e+00
9.600000000000001421e+00,6.700000000000000178e+00,1.359606532573849336e+00,1.545325658107880917e+00
9.600000000000001421e+00,6.550000000000000711e+00,1.357590708791168499e+00,1.536657428007098591e+00
9.600000000000001421e+00,6.400000000000000355e+00,1.355489351031252676e+00,1.527760840010119914e+00
9.600000000000001421e+00,6.250000000000000000e+00,1.353303731118462361e+00,1.518670682281763495e+00
9.600000000000001421e+00,6.100000000000000533e+00,1.351035120877157825e+00,1.509421742986847725e+00
9.600000000000001421e+00,5.950000000000000178e+00,1.348684792131698895e+00,1.500048810290190993e+00
9.600000000000001421e+00,5.800000000000000711e+00,1.346254016706445178e+00,1.490586672356610798e+00
9.600000000000001421e+00,5.650000000000000355e+00,1.343744066425756056e+00,1.481070117350926640e+00
9.600000000000001421e+00,5.500000000000000000e+00,1.341156213113991802e+00,1.471533933437956021e+00
9.600000000000001421e+00,5.350000000000000533e+00,1.338491728595512686e+00,1.462012908782517551e+00
9.600000000000001421e+00,5.200000000000000178e+00,1.335751884694678537e+00,1.452541831549429396e+00
9.600000000000001421e+00,5.050000000000000711e+00,1.332937953235848738e+00,1.443155489903509947e+00
9.600000000000001421e+00,4.900000000000000355e+00,1.330051206043383782e+00,1.433888672009577148e+00
9.600000000000001421e+00,4.750000000000000000e+00,1.327092914941642388e+00,1.424776166032450053e+00
9.600000000000001421e+00,4.600000000000000533e+00,1.324064351754986379e+00,1.415852760136946609e+00
9.600000000000001421e+00,4.450000000000000178e+00,1.320966788307774031e+00,1.407153242487884759e+00
9.600000000000001421e+00,4.299999999999999822e+00,1.317801496424365837e+00,1.398712401250083337e+00
9.600000000000001421e+00,4.150000000000000355e+00,1.314569747929121402e+00,1.390565024588360954e+00
9.600000000000001421e+00,4.000000000000000000e+00,1.311272814646400775e+00,1.382745900667535111e+00
9.600000000000001421e+00,3.850000000000000089e+00,1.307911968400564229e+00,1.375289817652424196e+00
9.600000000000001421e+00,3.700000000000000178e+00,1.304488481015970924e+00,1.368231563707847043e+00
9.600000000000001421e+00,3.550000000000000266e+00,1.301003624316981133e+00,1.361605926998621596e+00
9.600000000000001421e+00,3.400000000000000355e+00,1.297458670127954461e+00,1.355447695689566467e+00
9.600000000000001421e+00,3.250000000000000000e+00,1.293854890273251845e+00,1.350445383312856240e+00
9.600000000000001421e+00,3.100000000000000089e+00,1.290193556577232226e+00,1.349902404870092720e+00
9.600000000000001421e+00,2.950000000000000178e+00,1.286475940864254985e+00,1.357775900730233243e+00
9.600000000000001421e+00,2.800000000000000266e+00,1.282703314958681284e+00,1.378023011262236475e+00
9.600000000000001421e+00,2.650000000000000355e+00,1.278876950684870284e+00,1.414600876835059973e+00
9.600000000000001421e+00,2.500000000000000000e+00,1.274998119867181812e+00,1.471466637817662626e+00
9.600000000000001421e+00,2.350000000000000089e+00,1.271068094329976139e+00,1.552577434579001103e+00
9.600000000000001421e+00,2.200000000000000178e+00,1.267088145897612206e+00,1.661890407488034516e+00
9.600000000000001421e+00,2.050000000000000266e+00,1.263059546394451615e+00,1.799825713449535680e+00
9.600000000000001421e+00,1.900000000000000133e+00,1.258983567644853307e+00,1.952655575511538455e+00
9.600000000000001421e+00,1.750000000000000000e+00,1.254861481473176221e+00,2.103115233257890626e+00
9.600000000000001421e+00,1.600000000000000089e+00,1.250694559703781739e+00,2.233939926272442644e+00
9.600000000000001421e+00,1.450000000000000178e+00,1.246484074161029021e+00,2.332670131498493671e+00
9.500000000000000000e+00,1.300000000000000044e+00,1.241367855062915915e+00,2.418839428721855977e+00
9.349999999999999645e+00,1.150000000000000133e+00,1.235272377266174004e+00,2.500602464841425121e+00
9.200000000000001066e+00,1.000000000000000000e+00,1.229098969919247386e+00,2.592217643081209388e+00
9.050000000000000711e+00,1.000000000000000000e+00,1.224688636246231477e+00,2.672563581186130133e+00
8.900000000000000355e+00,1.000000000000000000e+00,1.220242408253741750e+00,2.736561053106489894e+00
8.750000000000000000e+00,1.000000000000000000e+00,1.215761557766138701e+00,2.746577788864320357e+00
8.599999999999999645e+00,1.000000000000000000e+00,1.211247356607782155e+00,2.664981518481653655e+00
8.450000000000001066e+00,1.000000000000000000e+00,1.206701076603032163e+00,2.468618907861470202e+00
8.300000000000000711e+00,1.000000000000000000e+00,1.202123989576248775e+00,2.192252366430536892e+00
8.150000000000000355e+00,1.000000000000000000e+00,1.197517367351791151e+00,1.885123239496576009e+00
8.000000000000000000e+00,1.000000000000000000e+00,1.192882481754019564e+00,1.596472872367306950e+00
7.850000000000000533e+00,1.000000000000000000e+00,1.188220604607293840e+00,1.365962681382381971e+00
7.700000000000000178e+00,1.000000000000000000e+00,1.183533007735973808e+00,1.194934367009172105e+00
7.550000000000000711e+00,1.000000000000000000e+00,1.178820962964420405e+00,1.075149700746988568e+00
7.400000000000000355e+00,1.000000000000000000e+00,1.174085742116992126e+00,9.983704540951391371e-01
7.250000000000000000e+00,1.000000000000000000e+00,1.169328617018049465e+00,9.563583985529306997e-01
7.100000000000000533e+00,1.000000000000000000e+00,1.164550859491951584e+00,9.408753056196714759e-01
6.950000000000000178e+00,1.000000000000000000e+00,1.159753741363059421e+00,9.436829467946687977e-01
6.800000000000000711e+00,1.000000000000000000e+00,1.154938534455732579e+00,9.565430935772305521e-01
6.650000000000000355e+00,1.000000000000000000e+00,1.150106510594330667e+00,9.725051294587830908e-01
6.500000000000000000e+00,1.000000000000000000e+00,1.145258941603213509e+00,9.897688858992298444e-01
6.350000000000000533e+00,1.000000000000000000e+00,1.140397099306741380e+00,1.007821806350592375e+00
6.200000000000000178e+00,1.000000000000000000e+00,1.135522255529273883e+00,1.026151334264893578e+00
6.050000000000000711e+00,1.000000000000000000e+00,1.130635682095170846e+00,1.044244913094154903e+00
5.900000000000000355e+00,1.000000000000000000e+00,1.125738650828792764e+00,1.061589986290398357e+00
5.750000000000000000e+00,1.000000000000000000e+00,1.120832433554498575e+00,1.077673997305646170e+00
5.600000000000000533e+00,1.000000000000000000e+00,1.115918302096648551e+00,1.091984389591920346e+00
5.450000000000000178e+00,1.000000000000000000e+00,1.110997528279602964e+00,1.104008606601242892e+00
5.300000000000000711e+00,1.000000000000000000e+00,1.106071383927721419e+00,1.113234091785635815e+00
5.150000000000000355e+00,1.000000000000000000e+00,1.101141140865363521e+00,1.119148288597121343e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.096208070916889543e+00,1.121238640487721261e+00
4.850000000000000533e+00,1.000000000000000000e+00,1.091273445906659756e+00,1.118992590909458018e+00
