x,y
5.247045,11.780045
5.170418,12.030000
5.255556,12.080000
5.332112,12.130000
5.382600,12.165600
5.340796,12.230000
5.340225,12.280000
5.342924,12.325924
5.310760,12.380000
5.361126,12.430000
5.431401,12.480000
5.430584,12.663584
5.247000,12.777822
5.269327,12.435345
5.297000,12.731008
5.147000,12.594667
5.347000,12.612231
5.089954,12.672274
5.402580,12.640938
5.043906,12.654751
5.448746,12.664287
4.994291,12.643544
5.498222,12.716563
4.944856,12.692866
5.549198,12.765712
4.894144,12.699993
5.601053,12.749600
4.839182,12.721695
5.655623,12.781134
4.786463,12.727417
5.705253,12.840799
4.739740,12.707589
5.700813,12.910936
4.693320,12.745454
5.750625,12.964051
4.642760,12.746253
5.800576,13.015694
4.593995,12.740733
5.848879,13.071859
4.545112,12.787011
5.848711,13.123400
4.495322,12.785872
5.898264,13.174765
4.445702,12.834705
5.897983,13.226315
4.396582,12.831438
5.946624,13.281505
4.348114,12.876038
5.945749,13.335159
4.298221,12.925387
5.996398,13.382635
4.247019,12.979924
6.047374,13.428464
4.196648,12.981302
6.046932,13.480285
4.147500,13.028049
6.096362,13.532836
4.097700,13.077199
6.096544,13.582078
4.047000,13.130001
6.148337,13.623762
4.041447,13.203323
6.160001,13.617882
3.967692,13.358956
6.245430,13.512067
3.633509,13.230000
3.866288,13.651275
6.341828,13.374824
3.592652,13.534348
3.902930,13.753316
6.360141,13.412250
3.502108,13.438669
3.905816,13.799446
6.412201,13.468569
3.464894,13.445685
3.907111,13.843490
6.415764,13.526201
3.425171,13.448191
3.910251,13.887723
6.473537,13.585504
3.367946,13.376791
3.912163,13.928734
6.474534,13.647399
3.348882,13.394994
3.964824,13.966226
6.522813,13.709181
3.307850,13.390235
3.968147,14.008493
6.572157,13.767045
3.265814,13.385624
3.971241,14.043642
6.569920,13.850351
3.257669,13.282511
3.996452,13.977683
6.528960,14.055996
4.026263,13.881610
6.506131,14.231303
4.093246,13.848396
6.547947,14.324845
4.096891,13.880535
6.546853,14.380798
4.097224,13.928880
6.596810,14.431057
4.097150,13.979236
6.646920,14.480443
4.147049,14.029757
6.646968,14.530178
4.147030,14.079849
6.696975,14.580138
4.197040,14.129801
6.696936,14.630358
4.197104,14.179469
6.746887,14.680629
4.247119,14.229393
6.796909,14.730515
4.247088,14.279549
6.796906,14.780521
4.297133,14.329323
6.846864,14.830768
4.297131,14.379317
6.896909,14.880517
4.347080,14.429592
6.896931,14.930389
4.347072,14.479627
6.946940,14.980342
4.397066,14.529661
6.946935,15.030370
4.397071,14.579631
6.996940,15.080341
4.447066,14.629661
6.996935,15.130370
4.447071,14.679632
7.046940,15.180341
4.497072,14.729631
7.046913,15.230495
4.497122,14.779364
7.096875,15.280708
4.547129,14.829331
7.146903,15.330558
4.547084,14.879561
7.146933,15.380381
4.597069,14.929640
7.196948,15.430299
4.597030,14.979843
7.197001,15.479993
4.646979,15.030110
7.247016,15.529909
4.697012,15.079939
7.246949,15.580291
4.697095,15.129505
7.296894,15.630603
4.747113,15.179414
7.346914,15.680495
4.747082,15.229571
7.346910,15.730510
4.797141,15.279267
7.396831,15.780979
4.797208,15.328896
7.446811,15.831093
4.847183,15.379028
7.496864,15.880800
4.847118,15.429373
7.496903,15.930562
4.897126,15.479333
7.546839,15.980929
4.947232,15.528769
7.596749,16.031476
4.947300,15.578379
7.646702,16.081756
4.997358,15.628067
7.696642,16.132151
4.997416,15.677711
7.746620,16.182322
4.997405,15.727730
7.796631,16.232255
5.047411,15.777700
7.846615,16.282397
5.047437,15.827510
7.896565,16.332710
5.097588,15.876647
7.946140,16.385444
5.099056,15.918075
7.992309,16.459708
5.157723,15.910897
8.027661,16.567787
5.228587,15.800997
8.420595,16.430000
8.043252,16.869675
5.248059,15.649642
8.550533,16.631766
8.033501,16.982427
5.293267,15.675037
8.519538,16.752538
7.982723,17.029940
5.284603,15.728763
8.566048,16.749048
7.982347,17.074488
5.326692,15.784621
8.580669,16.770402
7.932583,17.114818
5.311296,15.843982
8.653815,16.686815
7.932449,17.157652
5.354076,15.898340
8.702027,16.685027
7.931449,17.206083
5.397000,15.949168
8.751604,16.684604
7.931501,17.255746
5.390055,15.999439
8.801192,16.684192
7.930524,17.303781
5.426368,16.053611
8.859906,16.616830
7.931614,17.346833
5.420427,16.111468
8.892005,16.625005
7.880030,17.390190
5.464198,16.166696
8.939595,16.622595
7.879182,17.436907
5.508081,16.221355
8.975705,16.627286
7.829586,17.476055
5.504802,16.294194
8.992249,16.590577
7.844970,17.429173
5.565150,16.503511
8.819982,16.427085
5.584387,16.698014
8.853874,16.319997
5.643756,16.810828
8.899068,16.291203
5.645241,16.871071
8.948802,16.238366
5.695270,16.921843
8.998816,16.237870
5.745206,16.972598
9.048730,16.186716
5.745452,17.023898
9.098575,16.185861
5.745372,17.073849
9.148879,16.186627
5.794967,17.123088
9.199127,16.136786
5.845005,17.173540
9.248968,16.136082
5.845078,17.224233
9.298913,16.085500
5.845151,17.274608
9.348935,16.085419
5.844983,17.324493
9.399125,16.035510
5.894884,17.374435
9.449259,16.035729
5.894593,17.424023
9.499541,15.986015
5.944525,17.474252
9.549352,15.935291
5.944832,17.525053
9.599150,15.934691
5.994927,17.575549
9.648963,15.884094
5.995226,17.626249
9.698736,15.883520
6.045270,17.676443
9.748860,15.883719
6.045038,17.726128
9.799038,15.833867
6.095018,17.776189
9.848982,15.833716
6.095060,17.826403
9.898858,15.783317
6.145368,17.877047
9.948472,15.782601
6.145628,17.927543
9.998440,15.782488
6.195465,17.977313
10.048692,15.782896
6.195228,18.026995
10.098757,15.732878
6.245425,18.077387
10.148424,15.732314
6.245697,18.127855
10.198295,15.732062
6.295698,18.177900
10.248430,15.732259
6.295375,18.227399
10.298898,15.732940
6.344980,18.276893
10.349002,15.682985
6.395057,18.327068
10.399634,15.683902
6.391171,18.371257
10.462981,15.703244
6.408392,18.373141
10.577043,15.794347
6.362616,18.289034
10.874046,15.630000
10.775283,16.004402
6.240627,18.178030
10.950453,15.378274
10.861267,16.049063
6.275437,18.219400
11.031461,15.421385
10.905791,16.091415
6.323703,18.282957
11.014059,15.340980
10.951812,16.135859
6.370208,18.343591
11.002949,15.277769
10.995892,16.181882
6.370221,18.403649
10.991225,15.222310
11.040060,16.223637
6.422656,18.465896
11.039438,15.199187
11.084244,16.265415
6.472027,18.527917
11.030094,15.143181
11.131178,16.311080
6.518716,18.586467
11.032114,15.109652
11.128285,16.358669
6.568306,18.593773
11.023383,15.054539
11.173605,16.402017
6.620689,18.653689
11.068927,15.018422
11.219315,16.445921
6.669935,18.713591
11.065792,14.979420
11.217283,16.489170
6.722401,18.772563
11.108160,14.939710
11.255877,16.528396
6.791549,18.796625
11.048956,14.910318
11.192532,16.485304
6.996354,18.933605
11.157181,16.416442
7.117760,19.037223
11.110358,16.398944
7.187835,19.116762
11.112344,16.451481
7.216838,19.136992
11.150735,16.555228
7.147216,19.130216
7.187997,19.021638
11.285086,16.725831
7.017446,19.126964
7.182878,18.885427
11.316714,16.820685
7.023255,19.162191
7.255640,18.917959
11.275792,16.814991
7.056834,19.239834
7.348397,18.981089
11.242744,16.817523
7.081953,19.314953
7.409538,18.995163
11.286669,16.862058
7.034863,19.367863
7.463632,18.947698
11.281598,16.904589
7.049136,19.432136
7.533483,18.978372
11.252440,16.917471
7.590595,18.988983
11.273529,17.001751
7.589755,18.905415
11.197000,16.672410
11.388008,17.159547
7.624469,18.878699
11.116386,16.818773
11.364705,17.042841
7.743982,18.941195
11.104486,16.944972
11.398410,17.015683
7.790980,18.935196
11.103437,16.971092
11.455255,17.079460
7.844547,18.940279
11.107287,17.050575
11.485280,17.045355
7.913048,18.972191
11.069295,17.124590
11.526392,17.031435
7.967647,18.928841
11.019107,17.174213
11.581798,17.040897
8.006600,18.909894
10.961913,17.195791
11.644517,17.115288
8.047472,18.894452
10.909377,17.242213
11.690222,17.107578
8.107186,18.910325
10.916747,17.315172
11.727422,17.086041
8.169446,18.880403
10.876117,17.385623
11.765706,17.064458
8.233275,18.906210
10.854989,17.444049
8.293185,18.873187
10.798535,17.482687
8.346514,18.879137
10.747107,17.530186
8.396934,18.879883
10.697252,17.580454
8.446501,18.829122
10.647619,17.581064
8.496379,18.828914
10.597683,17.631217
8.546182,18.778577
10.547863,17.631463
8.596196,18.778612
10.497782,17.681378
8.646309,18.728815
10.447237,17.680394
8.697415,18.730705
10.396375,17.728915
8.747105,18.680186
10.347732,17.781260
8.795681,18.677802
10.298518,17.782590
8.845385,18.627173
10.248497,17.832526
8.896362,18.628964
10.196378,17.828963
8.948088,18.581866
10.146613,17.879315
8.996618,18.529354
10.096926,17.879881
9.048349,18.532249
10.045560,17.927512
9.096477,18.479059
10.000420,17.985814
9.141248,18.470798
9.953945,17.991575
9.189203,18.416356
9.904737,18.042573
9.242790,18.423685
9.846625,18.029411
9.296770,18.379617
9.801727,18.088509
9.344570,18.326113
9.723929,18.047701
9.461325,18.426488
9.606813,17.979688
9.517952,18.421904
9.632934,18.137802
9.438395,18.112790
9.808013,18.391013
9.827753,18.510753
