center_x,center_y,left_distance,right_distance
4.753000,-6.163333,3.524824,3.524824
4.728000,-6.155000,3.501030,3.501030
4.753000,-6.160000,3.525255,3.525255
4.723000,-6.140000,3.498120,3.498120
4.763000,-6.150000,3.536646,3.536646
4.713000,-6.120000,3.491257,3.491257
4.773000,-6.130000,3.548563,3.548563
4.703000,-6.090000,3.485116,3.485116
4.783000,-6.110000,3.555023,3.555023
4.693000,-6.060000,3.473722,3.473722
4.793000,-6.090000,3.556150,3.556150
4.683000,-6.030000,3.458282,3.458282
4.803000,-6.070000,3.553142,3.553142
4.673000,-6.000000,3.441817,3.441817
4.813000,-6.050000,3.549010,3.549010
4.663000,-5.980000,3.425650,3.425650
4.823000,-6.030000,3.536126,3.536126
4.853000,-6.020000,3.540545,3.540545
5.043000,-6.080000,3.669330,3.669330
5.083000,-6.070000,3.678482,3.678482
5.303000,-6.130000,3.824455,3.824455
5.353000,-6.120000,3.838870,3.838870
5.403000,-6.110000,3.853849,3.853849
5.453000,-6.100000,3.869382,3.869382
5.503000,-6.090000,3.885460,3.885460
5.553000,-6.080000,3.902075,3.902075
5.603000,-6.070000,3.919533,3.919533
5.653000,-6.060000,3.937513,3.937513
5.703000,-6.050000,3.956004,3.956004
5.753000,-6.040000,3.974998,3.974998
5.803000,-6.020000,3.986361,3.986361
5.853000,-6.010000,4.006665,4.006665
5.903000,-6.000000,4.027446,4.027446
5.953000,-5.990000,4.048695,4.048695
6.003000,-5.970000,4.062560,4.062560
6.053000,-5.960000,4.085059,4.085059
6.103000,-5.950000,4.108000,4.108000
6.153000,-5.940000,4.131374,4.131374
6.203000,-5.920000,4.147615,4.147615
6.253000,-5.910000,4.172174,4.172174
6.303000,-5.900000,4.197141,4.197141
6.353000,-5.880000,4.215177,4.215177
6.403000,-5.860000,4.233663,4.233663
6.453000,-5.850000,4.260147,4.260147
6.503000,-5.830000,4.279906,4.279906
6.553000,-5.810000,4.300088,4.300088
6.603000,-5.800000,4.328015,4.328015
6.653000,-5.780000,4.349421,4.349421
6.703000,-5.760000,4.371226,4.371226
6.753000,-5.750000,4.400519,4.400519
6.803000,-5.730000,4.423498,4.423498
6.853000,-5.710000,4.446849,4.446849
6.903000,-5.690000,4.470969,4.470969
6.953000,-5.670000,4.495444,4.495444
7.003000,-5.650000,4.520267,4.520267
7.053000,-5.630000,4.545833,4.545833
7.103000,-5.610000,4.571730,4.571730
7.153000,-5.590000,4.598351,4.598351
7.203000,-5.570000,4.625287,4.625287
7.253000,-5.550000,4.652533,4.652533
7.303000,-5.530000,4.680475,4.680475
7.353000,-5.510000,4.708711,4.708711
7.403000,-5.490000,4.737625,4.737625
7.453000,-5.470000,4.766817,4.766817
7.503000,-5.440000,4.790771,4.790771
7.553000,-5.420000,4.820886,4.820886
7.603000,-5.390000,4.845913,4.845913
7.653000,-5.370000,4.876918,4.876918
7.703000,-5.340000,4.902986,4.902986
7.753000,-5.310000,4.929785,4.929785
7.803000,-5.280000,4.956858,4.956858
7.853000,-5.250000,4.984643,4.984643
7.903000,-5.220000,5.012689,5.012689
7.953000,-5.190000,5.041427,5.041427
8.003000,-5.170000,5.075475,5.075475
8.053000,-5.150000,5.109720,5.109720
8.103000,-5.130000,5.144514,5.144514
8.153000,-5.110000,5.179493,5.179493
8.203000,-5.090000,5.215003,5.215003
8.253000,-5.070000,5.250687,5.250687
8.303000,-5.040000,5.282296,5.282296
8.353000,-5.020000,5.318657,5.318657
8.403000,-4.990000,5.351080,5.351080
8.453000,-4.970000,5.388090,5.388090
8.503000,-4.940000,5.421297,5.421297
8.553000,-4.920000,5.458930,5.458930
8.603000,-4.890000,5.492892,5.492892
8.653000,-4.870000,5.531124,5.531124
8.703000,-4.840000,5.563681,5.563681
8.753000,-4.810000,5.594672,5.594672
8.793000,-4.770000,5.607740,5.607740
8.823000,-4.730000,5.605400,5.605400
8.843000,-4.680000,5.583794,5.583794
8.853000,-4.630000,5.548716,5.548716
8.853000,-4.580000,5.500000,5.500000
8.863000,-4.530000,5.450000,5.450000
8.873000,-4.480000,5.400000,5.400000
8.883000,-4.430000,5.350000,5.350000
8.893000,-4.380000,5.300000,5.300000
8.903000,-4.330000,5.250000,5.250000
8.903000,-4.280000,5.200000,5.200000
8.903000,-4.230000,5.150000,5.150000
8.913000,-4.180000,5.100000,5.100000
8.923000,-4.130000,5.050000,5.050000
8.923000,-4.080000,5.000000,5.000000
8.933000,-4.040000,4.960000,4.960000
8.923000,-4.000000,4.920000,4.920000
8.933000,-3.970000,4.890052,4.890052
8.903000,-3.940000,4.860104,4.860104
8.933000,-3.920000,4.840312,4.840312
8.893000,-3.890000,4.810522,4.810522
8.943000,-3.870000,4.790996,4.790996
8.883000,-3.840000,4.761423,4.761423
8.953000,-3.820000,4.742222,4.742222
8.873000,-3.790000,4.712873,4.712873
8.963000,-3.770000,4.694006,4.694006
8.863000,-3.740000,4.664890,4.664890
8.973000,-3.720000,4.646366,4.646366
8.853000,-3.690000,4.617491,4.617491
8.983000,-3.670000,4.599319,4.599319
8.843000,-3.640000,4.570694,4.570694
8.993000,-3.620000,4.552885,4.552885
8.833000,-3.590000,4.524519,4.524519
9.003000,-3.570000,4.507082,4.507082
8.823000,-3.540000,4.478984,4.478984
9.013000,-3.520000,4.461930,4.461930
8.813000,-3.490000,4.434109,4.434109
9.023000,-3.470000,4.417448,4.417448
8.803000,-3.440000,4.389915,4.389915
9.033000,-3.420000,4.373656,4.373656
8.793000,-3.390000,4.346422,4.346422
9.043000,-3.370000,4.330577,4.330577
8.783000,-3.340000,4.303651,4.303651
9.053000,-3.320000,4.288231,4.288231
8.773000,-3.290000,4.261624,4.261624
9.063000,-3.270000,4.246640,4.246640
8.763000,-3.240000,4.220363,4.220363
9.073000,-3.220000,4.205827,4.205827
8.753000,-3.190000,4.179892,4.179892
9.083000,-3.170000,4.165814,4.165814
8.743000,-3.140000,4.140232,4.140232
9.093000,-3.120000,4.126626,4.126626
8.743000,-3.090000,4.099246,4.099246
9.103000,-3.070000,4.083841,4.083841
8.733000,-3.040000,4.056694,4.056694
9.113000,-3.020000,4.041638,4.041638
8.723000,-2.990000,4.014734,4.014734
9.113000,-2.970000,4.002200,4.002200
8.713000,-2.940000,3.977828,3.977828
9.123000,-2.920000,3.965808,3.965808
8.703000,-2.890000,3.937920,3.937920
9.133000,-2.870000,3.926425,3.926425
8.693000,-2.840000,3.893043,3.893043
9.143000,-2.820000,3.882087,3.882087
8.693000,-2.790000,3.852554,3.852554
9.153000,-2.770000,3.843011,3.843011
8.683000,-2.740000,3.807734,3.807734
9.163000,-2.720000,3.804513,3.804513
8.673000,-2.690000,3.763351,3.763351
9.163000,-2.670000,3.757133,3.757133
8.673000,-2.640000,3.722578,3.722578
9.173000,-2.620000,3.719557,3.719557
8.663000,-2.590000,3.679012,3.679012
9.183000,-2.570000,3.682614,3.682614
8.653000,-2.540000,3.635931,3.635931
9.183000,-2.520000,3.636752,3.636752
8.653000,-2.490000,3.596869,3.596869
9.193000,-2.470000,3.600825,3.600825
8.653000,-2.440000,3.564393,3.564393
9.213000,-2.420000,3.575285,3.575285
8.653000,-2.390000,3.532483,3.532483
9.213000,-2.370000,3.536806,3.536806
8.653000,-2.340000,3.501034,3.501034
9.223000,-2.320000,3.502744,3.502744
8.643000,-2.290000,3.460491,3.460491
9.233000,-2.270000,3.469434,3.469434
8.653000,-2.240000,3.434372,3.434372
9.243000,-2.220000,3.436553,3.436553
8.643000,-2.190000,3.394900,3.394900
9.253000,-2.170000,3.404466,3.404466
8.643000,-2.140000,3.365926,3.365926
9.253000,-2.120000,3.368596,3.368596
8.633000,-2.090000,3.327595,3.327595
9.263000,-2.070000,3.337804,3.337804
8.633000,-2.040000,3.299849,3.299849
9.263000,-2.020000,3.303027,3.303027
8.623000,-1.990000,3.262734,3.262734
9.273000,-1.970000,3.273604,3.273604
8.623000,-1.940000,3.236288,3.236288
9.273000,-1.920000,3.239991,3.239991
8.613000,-1.890000,3.200467,3.200467
9.283000,-1.870000,3.212015,3.212015
9.293000,-1.840000,3.191502,3.191502
9.963000,-1.810000,3.187308,3.187308
9.803000,-1.792500,3.171635,3.171635
10.653000,-1.780000,3.190685,3.190685
