center_x,center_y,left_distance,right_distance
9.325689550347457057e+00,3.501005167177503985e+00,1.800000000000000044e+00,1.125000000000000000e+00
9.293492355359953550e+00,3.378998350994985245e+00,1.850000000000000089e+00,1.074999999999999956e+00
9.259241424220334693e+00,3.258963109174717765e+00,1.875000000000000000e+00,1.074999999999999956e+00
9.222843712057905208e+00,3.140982022694028153e+00,1.925000000000000044e+00,1.025000000000000133e+00
9.184210139339471723e+00,3.025135933417137046e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.143374637606131117e+00,2.911503316510521966e+00,2.075000000000000178e+00,9.500000000000000666e-01
9.100302325314485685e+00,2.800159634243450935e+00,2.075000000000000178e+00,9.500000000000000666e-01
9.054899652701088542e+00,2.691176680654257858e+00,2.175000000000000266e+00,9.000000000000000222e-01
9.006964494883956007e+00,2.584621927513310435e+00,2.250000000000000000e+00,8.750000000000000000e-01
8.956379345929279978e+00,2.480557882728866126e+00,2.325000000000000178e+00,8.250000000000000666e-01
8.903102411405477312e+00,2.379041472782965183e+00,2.425000000000000266e+00,7.750000000000000222e-01
8.847100442232781248e+00,2.280124114561551174e+00,2.600000000000000089e+00,6.750000000000000444e-01
8.788349789757493369e+00,2.183850710331009193e+00,2.700000000000000178e+00,6.250000000000000000e-01
8.726836240300723802e+00,2.090259202464031851e+00,3.025000000000000355e+00,6.250000000000000000e-01
8.637344749106407704e+00,1.999380199710122152e+00,2.725000000000000089e+00,5.500000000000000444e-01
8.545092213246526569e+00,1.911236684021914600e+00,2.500000000000000000e+00,4.250000000000000444e-01
8.450094868104169876e+00,1.834247305454378640e+00,2.175000000000000266e+00,4.000000000000000222e-01
8.352378721749634138e+00,1.776822390393313800e+00,2.000000000000000000e+00,3.250000000000000111e-01
8.251979554307879994e+00,1.722153043875816802e+00,1.900000000000000133e+00,3.750000000000000000e-01
8.148942777275596683e+00,1.670229485797619429e+00,1.825000000000000178e+00,4.250000000000000444e-01
8.043322668111322571e+00,1.621034225420814323e+00,1.750000000000000000e+00,4.750000000000000333e-01
7.935181789390222562e+00,1.574542332886940121e+00,1.650000000000000133e+00,5.250000000000000222e-01
7.824590375851668611e+00,1.530721803308392248e+00,1.600000000000000089e+00,5.750000000000000666e-01
7.711626191030854116e+00,1.489534007043062491e+00,1.525000000000000133e+00,6.250000000000000000e-01
7.596373897506895290e+00,1.450934217973173235e+00,1.500000000000000000e+00,6.250000000000000000e-01
7.478924606211668547e+00,1.414872210060812208e+00,1.450000000000000178e+00,6.750000000000000444e-01
7.359375459912493866e+00,1.381292911181678740e+00,1.375000000000000000e+00,7.000000000000000666e-01
7.237828619324181645e+00,1.350137102275886791e+00,1.375000000000000000e+00,7.000000000000000666e-01
7.114389273498283650e+00,1.321342149219148165e+00,1.325000000000000178e+00,7.500000000000000000e-01
6.989165908424356033e+00,1.294842754518422678e+00,1.250000000000000000e+00,8.000000000000000444e-01
6.862270245971492599e+00,1.270453556628993841e+00,1.250000000000000000e+00,8.000000000000000444e-01
6.733816080618645117e+00,1.248121639860598320e+00,1.200000000000000178e+00,8.500000000000000888e-01
6.603918646730805975e+00,1.227910212627859599e+00,1.200000000000000178e+00,8.500000000000000888e-01
6.472694023879217440e+00,1.209747661302390309e+00,1.200000000000000178e+00,8.500000000000000888e-01
6.340258584746456094e+00,1.193563543885002298e+00,1.150000000000000133e+00,9.000000000000000222e-01
6.206728488784275299e+00,1.179289218667631145e+00,1.150000000000000133e+00,9.000000000000000222e-01
6.072218891184656187e+00,1.166858414049651627e+00,1.150000000000000133e+00,9.000000000000000222e-01
5.936843785287320152e+00,1.156207734304847801e+00,1.150000000000000133e+00,9.000000000000000222e-01
5.800715834454193143e+00,1.147277097589507466e+00,1.100000000000000089e+00,9.500000000000000666e-01
5.663946367193747555e+00,1.140010103939381070e+00,1.100000000000000089e+00,9.500000000000000666e-01
5.526644833365368825e+00,1.134354332387835784e+00,1.100000000000000089e+00,9.500000000000000666e-01
5.388918361684418734e+00,1.130464536908035722e+00,1.100000000000000089e+00,9.500000000000000666e-01
5.251074541052727085e+00,1.128325297709067865e+00,1.100000000000000089e+00,9.500000000000000666e-01
5.113243758865768207e+00,1.127928460312748626e+00,1.100000000000000089e+00,9.500000000000000666e-01
4.975556422035186444e+00,1.129273247736997776e+00,1.100000000000000089e+00,9.500000000000000666e-01
4.838320177472957617e+00,1.132366283974106658e+00,1.100000000000000089e+00,9.500000000000000666e-01
4.701642248091301823e+00,1.137221528542510463e+00,1.100000000000000089e+00,9.500000000000000666e-01
4.565632210842789362e+00,1.143801042810721258e+00,1.100000000000000089e+00,9.500000000000000666e-01
4.430401769007776380e+00,1.152022467474434153e+00,1.150000000000000133e+00,9.000000000000000222e-01
4.296064482337402346e+00,1.161942843447224760e+00,1.150000000000000133e+00,9.000000000000000222e-01
4.162735452815749859e+00,1.173623035665050773e+00,1.150000000000000133e+00,9.000000000000000222e-01
4.030530964454539067e+00,1.187127398856341998e+00,1.150000000000000133e+00,9.000000000000000222e-01
3.899568075138329704e+00,1.202523372418646375e+00,1.200000000000000178e+00,8.500000000000000888e-01
3.769964159895848432e+00,1.219881005734917423e+00,1.200000000000000178e+00,8.500000000000000888e-01
3.641836405409836441e+00,1.239272416690405887e+00,1.200000000000000178e+00,8.500000000000000888e-01
3.515368914695711666e+00,1.260771187641365865e+00,1.250000000000000000e+00,8.000000000000000444e-01
3.390821589572149186e+00,1.284451704601402788e+00,1.250000000000000000e+00,8.000000000000000444e-01
3.268336941980866328e+00,1.310388446907809090e+00,1.325000000000000178e+00,7.500000000000000000e-01
3.147651748604133104e+00,1.338655236062940235e+00,1.325000000000000178e+00,7.500000000000000000e-01
3.028851445996028957e+00,1.369324453767324590e+00,1.375000000000000000e+00,7.000000000000000666e-01
2.912217737871221068e+00,1.402466240324587110e+00,1.450000000000000178e+00,6.750000000000000444e-01
2.797850209289412859e+00,1.438148017839704584e+00,1.450000000000000178e+00,6.750000000000000444e-01
2.685842817260039705e+00,1.476433267401758620e+00,1.525000000000000133e+00,6.250000000000000000e-01
2.576283155754288678e+00,1.517380426533640136e+00,1.600000000000000089e+00,5.750000000000000666e-01
2.469251746621162091e+00,1.561042568335327729e+00,1.675000000000000044e+00,5.250000000000000222e-01
2.364821369166039133e+00,1.607466690389907082e+00,1.750000000000000000e+00,4.750000000000000333e-01
2.263056441086980897e+00,1.656693061914905396e+00,1.825000000000000178e+00,4.250000000000000444e-01
2.164012463523830476e+00,1.708754641016644094e+00,1.925000000000000044e+00,3.750000000000000000e-01
2.067735540868559596e+00,1.763676572727112202e+00,2.024999999999999911e+00,3.250000000000000111e-01
1.974261985908685180e+00,1.821475777036857924e+00,2.125000000000000000e+00,2.750000000000000222e-01
