x,y
9.499999999999999556e-01,2.040000000000000213e+01
9.499999999999999556e-01,2.035000000000000142e+01
9.499999999999999556e-01,2.030000000000000071e+01
9.499999999999999556e-01,2.025000000000000000e+01
9.499999999999999556e-01,2.020000000000000284e+01
9.499999999999999556e-01,2.015000000000000213e+01
9.499999999999999556e-01,2.010000000000000142e+01
9.499999999999999556e-01,2.005000000000000071e+01
9.499999999999999556e-01,2.000000000000000000e+01
9.499999999999999556e-01,1.995000000000000284e+01
9.499999999999999556e-01,1.990000000000000213e+01
9.500000000000000666e-01,1.985000000000000142e+01
9.500000000000000666e-01,1.980000000000000071e+01
9.500000000000000666e-01,1.975000000000000000e+01
9.500000000000000666e-01,1.970000000000000284e+01
9.500000000000000666e-01,1.965000000000000213e+01
9.500000000000000666e-01,1.960000000000000142e+01
9.500000000000000666e-01,1.955000000000000071e+01
9.500000000000000666e-01,1.950000000000000000e+01
9.500000000000000666e-01,1.945000000000000284e+01
9.500000000000000666e-01,1.940000000000000213e+01
9.500000000000000666e-01,1.935000000000000142e+01
9.500000000000000666e-01,1.930000000000000071e+01
9.500000000000000666e-01,1.925000000000000000e+01
9.500000000000000666e-01,1.920000000000000284e+01
9.500000000000000666e-01,1.915000000000000213e+01
9.500000000000000666e-01,1.910000000000000142e+01
9.500000000000000666e-01,1.905000000000000071e+01
9.500000000000000666e-01,1.900000000000000000e+01
9.500000000000000666e-01,1.894999999999999929e+01
9.500000000000000666e-01,1.890000000000000213e+01
9.500000000000000666e-01,1.885000000000000142e+01
9.500000000000000666e-01,1.880000000000000071e+01
9.500000000000000666e-01,1.875000000000000000e+01
9.500000000000000666e-01,1.869999999999999929e+01
9.500000000000000666e-01,1.865000000000000213e+01
9.500000000000000666e-01,1.860000000000000142e+01
9.500000000000000666e-01,1.855000000000000071e+01
9.500000000000000666e-01,1.850000000000000000e+01
9.500000000000000666e-01,1.844999999999999929e+01
9.500000000000000666e-01,1.840000000000000213e+01
9.500000000000000666e-01,1.835000000000000142e+01
9.500000000000000666e-01,1.830000000000000071e+01
9.500000000000000666e-01,1.825000000000000000e+01
9.500000000000000666e-01,1.819999999999999929e+01
9.500000000000000666e-01,1.815000000000000213e+01
9.500000000000000666e-01,1.810000000000000142e+01
9.500000000000000666e-01,1.805000000000000071e+01
9.500000000000000666e-01,1.800000000000000000e+01
9.500000000000000666e-01,1.794999999999999929e+01
9.500000000000000666e-01,1.790000000000000213e+01
9.500000000000000666e-01,1.785000000000000142e+01
9.500000000000000666e-01,1.780000000000000071e+01
9.500000000000000666e-01,1.775000000000000000e+01
9.500000000000001776e-01,1.769999999999999929e+01
9.500000000000001776e-01,1.765000000000000213e+01
9.500000000000001776e-01,1.760000000000000142e+01
9.500000000000002887e-01,1.755000000000000071e+01
9.500000000000009548e-01,1.750000000000000000e+01
9.500000000000033973e-01,1.744999999999999929e+01
9.500000000000121680e-01,1.740000000000000213e+01
9.500000000000422551e-01,1.735000000000000142e+01
9.500000000001409539e-01,1.730000000000000071e+01
9.500000000004518164e-01,1.725000000000000000e+01
9.500000000013932855e-01,1.719999999999999929e+01
9.500000000041393111e-01,1.715000000000000213e+01
9.500000000118611343e-01,1.710000000000000142e+01
9.500000000328225891e-01,1.705000000000000071e+01
9.500000000878155992e-01,1.700000000000000000e+01
9.500000002273950583e-01,1.694999999999999929e+01
9.500000005704585249e-01,1.690000000000000213e+01
9.500000013876883642e-01,1.685000000000000142e+01
9.500000032760341773e-01,1.680000000000000071e+01
9.500000075115969667e-01,1.675000000000000000e+01
9.500000167401867479e-01,1.669999999999999929e+01
9.500000362852064617e-01,1.665000000000000213e+01
9.500000765455259844e-01,1.660000000000000142e+01
9.500001572515730519e-01,1.655000000000000071e+01
9.500003147787335900e-01,1.650000000000000000e+01
9.500006143118924218e-01,1.644999999999999929e+01
9.500011694259407058e-01,1.640000000000000213e+01
9.500021725727896271e-01,1.635000000000000142e+01
9.500039409682426994e-01,1.630000000000000071e+01
9.500069832951354432e-01,1.625000000000000000e+01
9.500120932291844511e-01,1.619999999999999929e+01
9.500204756992604027e-01,1.615000000000000213e+01
9.500339105883504054e-01,1.610000000000000142e+01
9.500549558246306203e-01,1.605000000000000071e+01
9.500871871466169960e-01,1.600000000000000000e+01
9.501354651086245662e-01,1.595000000000000107e+01
9.502062113342348848e-01,1.590000000000000036e+01
9.503076663128051660e-01,1.585000000000000142e+01
9.504500913856794853e-01,1.580000000000000071e+01
9.506458696874995340e-01,1.575000000000000000e+01
9.509094567034754863e-01,1.570000000000000107e+01
9.512571327844659974e-01,1.565000000000000036e+01
9.517065190341760239e-01,1.560000000000000142e+01
9.522758352223974487e-01,1.555000000000000071e+01
9.529829033701586738e-01,1.550000000000000000e+01
9.538439315919807759e-01,1.545000000000000107e+01
9.548721465008226383e-01,1.540000000000000036e+01
9.560763746916507433e-01,1.535000000000000142e+01
9.574596993054326211e-01,1.530000000000000071e+01
9.590183298856536087e-01,1.525000000000000000e+01
9.607408133569300679e-01,1.520000000000000107e+01
9.626076680702757571e-01,1.515000000000000036e+01
9.645914303760683151e-01,1.510000000000000142e+01
9.666569734056283947e-01,1.505000000000000071e+01
9.687618486153295461e-01,1.500000000000000000e+01
9.708564289625493116e-01,1.495000000000000107e+01
9.728839217049667365e-01,1.490000000000000036e+01
9.747808695909221388e-01,1.485000000000000142e+01
9.764793181544524359e-01,1.480000000000000071e+01
9.779119066197466958e-01,1.475000000000000000e+01
9.790203012855214215e-01,1.470000000000000107e+01
9.797656770632248158e-01,1.465000000000000036e+01
9.801381323281969093e-01,1.460000000000000142e+01
9.800885156449268276e-01,1.454805627750000951e+01
9.797661907949086757e-01,1.449737803925326496e+01
9.794013539429244908e-01,1.444938205501391337e+01
9.787654074407412530e-01,1.439927618772818896e+01
9.780583132219823339e-01,1.434915788006281723e+01
9.773355224668228702e-01,1.429902385177198276e+01
9.766351564876493141e-01,1.424889619846256572e+01
9.759804603521796684e-01,1.419877811010357860e+01
9.753842780751222907e-01,1.414864533744964170e+01
9.748547070615934951e-01,1.409849587951383576e+01
9.743964563834820458e-01,1.404832779852442570e+01
9.740101031187043956e-01,1.399813927715156403e+01
9.736896338154932273e-01,1.394792873197654792e+01
9.734192806356043448e-01,1.389769518144739990e+01
