x,y
1.053631528345929524e+01,1.646059634442725894e+01
1.052758418413206165e+01,1.646242853351659363e+01
1.050821504527692873e+01,1.643715532214422836e+01
1.047755255410732467e+01,1.638359258881411407e+01
1.045886327815484229e+01,1.636597287811718715e+01
1.045655948041554062e+01,1.638347284668533632e+01
1.045503616467227737e+01,1.639161022906202803e+01
1.043638048219136216e+01,1.637410610825446255e+01
1.044171507512950470e+01,1.638069805227634390e+01
1.042905965448155925e+01,1.636801620189212869e+01
1.041237446013403734e+01,1.635212961972677803e+01
1.039807478329975154e+01,1.633852423158027634e+01
1.037945729463565847e+01,1.632215895467109235e+01
1.036229801214618185e+01,1.630741350900219544e+01
1.037737826237005834e+01,1.630423828629451322e+01
1.039459457508381135e+01,1.629454364854045778e+01
1.033123776168701013e+01,1.626974379800838122e+01
1.030301205078285953e+01,1.625210403779286850e+01
1.027187458295779443e+01,1.623467563997698093e+01
1.027001029204050653e+01,1.622189710739101542e+01
1.023061591619335964e+01,1.620547948270440131e+01
1.016106014210108022e+01,1.618471032396765708e+01
1.011918163544837235e+01,1.616918767393267586e+01
1.010036568358267850e+01,1.616085509291334077e+01
1.005110327463268405e+01,1.614735990245417696e+01
9.980119759269735269e+00,1.612541894500609985e+01
9.930812492879372400e+00,1.611186223052400379e+01
9.880505100692133169e+00,1.609881315675665192e+01
9.847139810215985278e+00,1.610003603828301877e+01
9.790763757201991879e+00,1.608874160013337828e+01
9.721028952690698333e+00,1.606017362352370625e+01
9.666593152470472461e+00,1.604728372540418491e+01
9.623938814592310820e+00,1.605585833098446358e+01
9.564472798989616109e+00,1.604477968777582575e+01
9.507135012883745517e+00,1.603350754571888714e+01
9.446466690629097940e+00,1.602136544888723080e+01
9.388498897705392920e+00,1.600936210731529030e+01
9.327507503831931501e+00,1.599698398719878334e+01
9.268303314581084251e+00,1.595152066889138531e+01
9.210913180386965493e+00,1.596994098080425140e+01
9.149983070343454372e+00,1.595495999731258330e+01
9.097723032042594582e+00,1.590262155107536479e+01
9.034429563010993647e+00,1.592509426592208754e+01
8.974462964961038125e+00,1.590843427057485293e+01
8.930872414904703405e+00,1.584848556472325320e+01
8.877086754386469991e+00,1.582954708906229513e+01
8.823377552633337118e+00,1.581119412334321161e+01
8.750284440514812800e+00,1.583795199984489166e+01
8.694040012426867747e+00,1.581687074768428936e+01
8.668268558650794375e+00,1.574701027123351693e+01
8.619825964160332532e+00,1.572396518106511465e+01
8.539410464279884039e+00,1.574983968922310318e+01
8.489053216831521809e+00,1.572456485485436772e+01
8.484684355048377924e+00,1.564798434570776386e+01
8.446222802158308340e+00,1.563826375025774595e+01
8.412356837181208746e+00,1.564108481949719831e+01
8.322233144855381681e+00,1.560835332218131555e+01
8.288609123058723327e+00,1.557506337830434440e+01
8.324312931816994166e+00,1.560214664473448565e+01
8.301049090115604656e+00,1.560126212552237490e+01
8.220742789497499814e+00,1.554659496514252126e+01
8.136452278379827874e+00,1.547563583623770000e+01
8.262609675795664188e+00,1.556443731555630450e+01
8.378078125900257689e+00,1.559584727784981695e+01
8.285801622838484093e+00,1.555680253234685750e+01
8.268666201297795837e+00,1.555421233662426950e+01
8.261508733413011285e+00,1.551943615325394887e+01
8.220796516825977562e+00,1.555917501978356476e+01
8.212358790817878784e+00,1.552171072693168874e+01
8.163965326364426289e+00,1.555506145193009715e+01
8.203655655032646266e+00,1.551967506915625172e+01
8.145395966647853925e+00,1.553699870998042698e+01
8.133827397401525161e+00,1.549417621869465655e+01
8.105086694450083229e+00,1.546804670664509551e+01
8.110611008316618964e+00,1.540412346587368653e+01
8.079288112484867668e+00,1.537696056507385833e+01
8.021057555992371135e+00,1.542207670802000941e+01
7.988175115325163667e+00,1.539731924703518473e+01
7.920825736250664661e+00,1.534402253969521723e+01
7.869841315664817927e+00,1.536407253347880975e+01
7.814432065823818441e+00,1.534746484899171470e+01
7.753527896224520433e+00,1.532629568896460981e+01
7.696972097653898004e+00,1.530532419438084624e+01
7.635303467782388331e+00,1.524828450088891074e+01
7.574142335750402744e+00,1.525376819767505765e+01
7.517289237083557119e+00,1.522784989042849269e+01
7.456289657648086155e+00,1.519819582714150030e+01
7.399924724677131138e+00,1.516998729176683725e+01
7.345040051748083165e+00,1.511476724334138666e+01
7.279974322335049486e+00,1.510559838628726226e+01
7.224812823999709366e+00,1.507471505590351768e+01
7.166118527964350449e+00,1.504059552174941672e+01
7.112160306663927400e+00,1.500805410706985299e+01
7.054613632363023967e+00,1.497259464586811895e+01
7.001506359798838730e+00,1.493939650842711409e+01
6.945118799100858276e+00,1.490305365075291633e+01
6.893137220142319777e+00,1.486894472382900290e+01
6.849307802802825584e+00,1.482463392513257183e+01
6.782873411794131613e+00,1.479458363921169806e+01
6.732311096880508217e+00,1.475956921649534159e+01
6.691492987292230410e+00,1.471921950151937253e+01
6.624929503184351809e+00,1.468348325419398570e+01
6.575615010088614376e+00,1.464771380037800164e+01
6.522949126996012481e+00,1.460904446799477974e+01
6.474423810804832868e+00,1.457283140169113445e+01
6.422625981959090957e+00,1.453372813234697780e+01
6.374850787144245245e+00,1.449711835912225766e+01
6.339780405738001612e+00,1.446599749310570004e+01
6.273114845581195809e+00,1.441788550072029906e+01
6.226372823179635141e+00,1.438074203947951624e+01
6.176406776956351763e+00,1.434069437364596666e+01
6.130532222506828610e+00,1.430347915421829086e+01
6.081278250580344213e+00,1.426322596707842472e+01
6.035756042429896162e+00,1.422554761106469812e+01
6.004673563110705992e+00,1.420394919956078894e+01
5.939088753646863950e+00,1.414489058571008329e+01
5.894560636029258838e+00,1.410717291688331265e+01
5.847112580566717455e+00,1.406697932780723548e+01
5.803625283319512107e+00,1.403004561294480546e+01
5.774464508632316750e+00,1.401595920844626519e+01
5.710405280679766271e+00,1.395065197593243411e+01
5.668153459939936134e+00,1.391495419971175451e+01
5.622901704241152210e+00,1.387711209517133604e+01
5.581583481112902589e+00,1.384282620184059986e+01
5.537661579425364522e+00,1.380743252606530014e+01
5.497964107765975328e+00,1.377623198952865025e+01
5.474113890062319854e+00,1.377758063752664697e+01
5.413451177078430376e+00,1.371287994295245127e+01
5.376357535777475327e+00,1.368727791565502550e+01
5.367285150737899357e+00,1.363833557198887725e+01
5.301352539734611291e+00,1.363963484644306412e+01
5.299482673000067479e+00,1.359025757142319257e+01
5.319529346795845548e+00,1.353066709084261277e+01
5.281574450182289659e+00,1.356550885624761982e+01
5.248315425556087988e+00,1.349784076269935618e+01
5.213832297386258752e+00,1.349413781426479275e+01
5.264925767991776695e+00,1.350426180155447398e+01
5.215881190202167339e+00,1.353528840830428948e+01
5.209784190344390886e+00,1.349760310479541481e+01
5.235302926813152347e+00,1.351314266879095172e+01
5.192432571862801716e+00,1.343935086420355063e+01
5.150991724518461545e+00,1.347084794750403525e+01
5.131836406492181979e+00,1.346701558362980400e+01
5.104099608665666921e+00,1.347918313615952179e+01
5.085065885455885670e+00,1.347724743934289116e+01
5.071636694709727777e+00,1.344337958467813188e+01
5.107254922793564411e+00,1.345219010993563558e+01
5.144865559768459384e+00,1.345236842747213046e+01
5.122978909643277845e+00,1.345708816812638808e+01
5.041918644276437433e+00,1.345658170792553499e+01
5.018133280375047356e+00,1.345688858779083752e+01
4.994045037645951979e+00,1.345809723051174878e+01
5.025484831681044540e+00,1.345199394897363554e+01
4.999723858902838103e+00,1.346153727558943913e+01
4.918822226022233401e+00,1.347559848578093522e+01
4.903940195620694276e+00,1.352933152675220185e+01
4.915448251083297748e+00,1.344653366852343801e+01
4.908648222044814879e+00,1.350623181581850041e+01
4.849491791587468015e+00,1.357787781261374249e+01
4.824400106999152449e+00,1.356015210687240291e+01
4.828740139880270732e+00,1.361215904712414293e+01
4.871859566296564914e+00,1.358873440429250934e+01
4.847359922772474405e+00,1.357852529661767704e+01
4.837234296147812529e+00,1.358110698157660323e+01
4.814391735849861576e+00,1.357108465510852824e+01
4.808580222464559739e+00,1.357169412299372091e+01
4.834715544757549388e+00,1.354813948688996561e+01
4.862923728474719098e+00,1.351800706883372172e+01
4.850153604145928554e+00,1.351334940019769171e+01
4.834001244136723940e+00,1.351284200666339252e+01
4.818788302863646678e+00,1.351034960473693580e+01
4.800817833710261162e+00,1.351425445476058407e+01
4.779826448916994153e+00,1.345927891010984467e+01
4.758907423416372851e+00,1.346911395436084469e+01
4.719908369062625120e+00,1.342801916050299305e+01
4.699016091508593895e+00,1.344888932019281214e+01
4.701146009844724638e+00,1.352304959038373511e+01
4.684567037001201584e+00,1.354949802960418026e+01
4.669792080792559474e+00,1.357926922503618705e+01
4.635466288382965594e+00,1.357112631154239857e+01
4.625448788844513714e+00,1.360976570953322096e+01
4.637077908177446695e+00,1.368587947779557012e+01
4.629915496807627484e+00,1.372545682552836510e+01
4.624572519639126966e+00,1.376685632415446570e+01
4.604615965696663871e+00,1.377660955476198268e+01
4.603666838472842748e+00,1.382326747967625380e+01
4.617052455502604680e+00,1.389884984995166484e+01
4.617140666540123561e+00,1.394393484146622875e+01
4.618456643428277886e+00,1.398987337760236827e+01
4.611933942224882621e+00,1.400775257255780382e+01
4.617080691655382374e+00,1.405807296197599676e+01
4.628776117827209546e+00,1.413285030786849639e+01
4.629392050174596207e+00,1.415377079182920106e+01
4.637362023053419158e+00,1.420514383755989307e+01
4.645610652167341037e+00,1.425361534198555269e+01
4.655378770631593000e+00,1.430619763497176677e+01
4.665178568354971134e+00,1.435587746185421310e+01
4.676446876837706768e+00,1.440907394185186696e+01
4.687546153760130174e+00,1.445935066581726858e+01
4.700143138227300454e+00,1.451350918683362856e+01
4.712321748108553088e+00,1.456477619349035990e+01
4.725980036096718351e+00,1.461985656297673053e+01
