# x_m, y_m, v_mps
5.151,4.245,4.162
4.998,4.254,4.239
4.839,4.249,4.341
4.677,4.231,4.461
4.513,4.201,4.594
4.348,4.160,4.737
4.182,4.110,4.891
4.015,4.050,5.057
3.848,3.981,5.235
3.681,3.906,5.426
3.512,3.824,5.615
3.343,3.738,5.798
3.171,3.647,5.976
2.998,3.553,6.148
2.822,3.457,6.315
2.642,3.360,6.159
2.458,3.264,5.936
2.269,3.170,5.737
2.075,3.080,5.559
1.875,2.994,5.403
1.668,2.916,5.268
1.455,2.845,5.154
1.235,2.786,5.064
1.008,2.739,5.001
0.775,2.707,4.972
0.537,2.692,4.970
0.297,2.697,4.967
0.062,2.719,4.979
-0.168,2.757,5.029
-0.391,2.809,5.111
-0.607,2.871,5.220
-0.817,2.943,5.352
-1.020,3.022,5.506
-1.217,3.106,5.683
-1.409,3.193,5.863
-1.596,3.282,6.039
-1.778,3.372,6.209
-1.957,3.461,6.087
-2.132,3.547,5.816
-2.306,3.630,5.569
-2.477,3.707,5.343
-2.647,3.779,5.136
-2.815,3.843,4.944
-2.983,3.898,4.768
-3.149,3.944,4.603
-3.314,3.980,4.451
-3.476,4.003,4.311
-3.636,4.015,4.185
-3.791,4.012,4.076
-3.941,3.996,3.987
-4.082,3.966,3.933
-4.213,3.922,3.931
-4.336,3.862,3.929
-4.454,3.785,3.955
-4.566,3.693,4.011
-4.670,3.587,4.081
-4.765,3.469,4.162
-4.850,3.341,4.249
-4.924,3.203,4.340
-4.987,3.058,4.431
-5.039,2.906,4.522
-5.080,2.749,4.613
-5.109,2.588,4.702
-5.127,2.424,4.793
-5.134,2.257,4.883
-5.130,2.089,4.975
-5.115,1.921,5.063
-5.090,1.755,5.140
-5.055,1.590,5.206
-5.010,1.428,5.260
-4.954,1.269,5.305
-4.889,1.115,5.302
-4.814,0.966,5.266
-4.730,0.822,5.231
-4.637,0.685,5.200
-4.535,0.555,5.172
-4.424,0.433,5.151
-4.306,0.320,5.138
-4.181,0.216,5.136
-4.049,0.123,5.134
-3.909,0.039,5.133
-3.761,-0.037,5.163
-3.605,-0.103,5.218
-3.444,-0.162,5.292
-3.278,-0.213,5.382
-3.107,-0.255,5.485
-2.932,-0.291,5.600
-2.754,-0.320,5.727
-2.572,-0.343,5.866
-2.388,-0.360,6.017
-2.201,-0.372,6.179
-2.012,-0.380,6.346
-1.821,-0.385,6.508
-1.628,-0.386,6.665
-1.432,-0.386,6.820
-1.236,-0.384,6.970
-1.038,-0.382,7.117
-0.841,-0.378,7.261
-0.643,-0.373,7.402
-0.445,-0.368,7.541
-0.246,-0.363,7.677
-0.047,-0.357,7.810
0.152,-0.351,7.941
0.352,-0.344,8.000
0.551,-0.338,8.000
0.751,-0.332,8.000
0.951,-0.326,8.000
1.152,-0.320,8.000
1.352,-0.315,8.000
1.552,-0.310,8.000
1.752,-0.304,8.000
1.952,-0.300,8.000
2.152,-0.295,8.000
2.353,-0.290,7.802
2.553,-0.286,7.548
2.752,-0.282,7.296
2.949,-0.277,7.060
3.145,-0.271,6.840
3.338,-0.263,6.634
3.529,-0.253,6.441
3.718,-0.239,6.259
3.905,-0.221,6.089
4.090,-0.199,5.929
4.271,-0.171,5.778
4.450,-0.138,5.638
4.625,-0.098,5.506
4.796,-0.051,5.386
4.963,0.002,5.279
5.124,0.064,5.188
5.279,0.133,5.113
5.427,0.211,5.059
5.568,0.297,5.027
5.699,0.391,5.018
5.822,0.495,5.013
5.935,0.607,5.011
6.040,0.729,5.009
6.136,0.859,5.018
6.223,0.997,5.039
6.300,1.142,5.072
6.367,1.294,5.110
6.425,1.450,5.162
6.473,1.611,5.210
6.511,1.776,5.267
6.538,1.943,5.219
6.556,2.112,5.150
6.564,2.280,5.080
6.560,2.448,5.009
6.546,2.613,4.936
6.521,2.777,4.863
6.485,2.937,4.786
6.438,3.094,4.708
6.379,3.245,4.628
6.310,3.391,4.546
6.231,3.529,4.463
6.141,3.659,4.383
6.042,3.779,4.307
5.934,3.888,4.238
5.819,3.984,4.180
5.696,4.067,4.140
5.569,4.135,4.127
5.437,4.186,4.125
5.298,4.223,4.124
