# x_m, y_m, v_mps
5.252,5.240,4.162
5.008,5.254,4.239
4.767,5.246,4.341
4.532,5.220,4.461
4.303,5.179,4.594
4.081,5.124,4.737
3.865,5.058,4.891
3.656,4.983,5.057
3.453,4.900,5.235
3.256,4.811,5.426
3.065,4.719,5.615
2.879,4.624,5.798
2.698,4.527,5.976
2.520,4.431,6.148
2.345,4.336,6.315
2.173,4.243,6.159
2.003,4.155,5.936
1.834,4.071,5.737
1.667,3.992,5.559
1.499,3.921,5.403
1.333,3.858,5.268
1.167,3.803,5.154
1.002,3.758,5.064
0.837,3.724,5.001
0.675,3.702,4.972
0.515,3.692,4.970
0.355,3.695,4.967
0.193,3.710,4.979
0.029,3.738,5.029
-0.138,3.776,5.111
-0.305,3.825,5.220
-0.473,3.882,5.352
-0.643,3.948,5.506
-0.813,4.020,5.683
-0.985,4.098,5.863
-1.158,4.181,6.039
-1.334,4.268,6.209
-1.513,4.357,6.087
-1.696,4.447,5.816
-1.883,4.536,5.569
-2.076,4.623,5.343
-2.274,4.707,5.136
-2.479,4.784,4.944
-2.690,4.855,4.768
-2.909,4.915,4.603
-3.135,4.964,4.451
-3.367,4.997,4.311
-3.606,5.014,4.185
-3.850,5.011,4.076
-4.097,4.984,3.987
-4.346,4.931,3.933
-4.593,4.847,3.931
-4.829,4.732,3.929
-5.046,4.591,3.955
-5.242,4.430,4.011
-5.418,4.251,4.081
-5.573,4.058,4.162
-5.708,3.853,4.249
-5.824,3.639,4.340
-5.920,3.419,4.431
-5.997,3.193,4.522
-6.057,2.963,4.613
-6.099,2.731,4.702
-6.124,2.498,4.793
-6.134,2.266,4.883
-6.128,2.034,4.975
-6.108,1.804,5.063
-6.074,1.576,5.140
-6.026,1.351,5.206
-5.964,1.128,5.260
-5.887,0.909,5.305
-5.797,0.696,5.302
-5.693,0.489,5.266
-5.575,0.288,5.231
-5.444,0.095,5.200
-5.299,-0.089,5.172
-5.142,-0.264,5.151
-4.971,-0.427,5.138
-4.789,-0.578,5.136
-4.595,-0.715,5.134
-4.393,-0.836,5.133
-4.185,-0.942,5.163
-3.974,-1.033,5.218
-3.760,-1.111,5.292
-3.544,-1.177,5.382
-3.327,-1.231,5.485
-3.111,-1.275,5.600
-2.895,-1.310,5.727
-2.680,-1.337,5.866
-2.467,-1.357,6.017
-2.255,-1.371,6.179
-2.045,-1.380,6.346
-1.837,-1.385,6.508
-1.631,-1.386,6.665
-1.427,-1.386,6.820
-1.224,-1.384,6.970
-1.022,-1.381,7.117
-0.820,-1.378,7.261
-0.619,-1.373,7.402
-0.418,-1.368,7.541
-0.217,-1.362,7.677
-0.017,-1.356,7.810
0.183,-1.350,7.941
0.383,-1.344,8.000
0.582,-1.338,8.000
0.781,-1.332,8.000
0.981,-1.326,8.000
1.180,-1.320,8.000
1.379,-1.314,8.000
1.578,-1.309,8.000
1.777,-1.304,8.000
1.976,-1.299,8.000
2.175,-1.295,8.000
2.374,-1.290,7.802
2.573,-1.286,7.548
2.774,-1.282,7.296
2.976,-1.277,7.060
3.180,-1.271,6.840
3.385,-1.262,6.634
3.593,-1.251,6.441
3.802,-1.236,6.259
4.013,-1.215,6.089
4.225,-1.190,5.929
4.438,-1.157,5.778
4.652,-1.117,5.638
4.866,-1.068,5.506
5.080,-1.010,5.386
5.294,-0.941,5.279
5.506,-0.861,5.188
5.715,-0.767,5.113
5.921,-0.659,5.059
6.121,-0.536,5.027
6.313,-0.398,5.018
6.496,-0.244,5.013
6.666,-0.075,5.011
6.822,0.105,5.009
6.963,0.297,5.018
7.089,0.497,5.039
7.199,0.704,5.072
7.294,0.918,5.110
7.374,1.136,5.162
7.440,1.358,5.210
7.492,1.582,5.267
7.529,1.809,5.219
7.553,2.037,5.150
7.564,2.268,5.080
7.559,2.500,5.009
7.539,2.732,4.936
7.504,2.963,4.863
7.452,3.192,4.786
7.384,3.418,4.708
7.299,3.639,4.628
7.196,3.854,4.546
7.077,4.062,4.463
6.940,4.261,4.383
6.785,4.449,4.307
6.612,4.624,4.238
6.421,4.783,4.180
6.212,4.924,4.140
5.987,5.043,4.127
5.747,5.137,4.125
5.500,5.202,4.124
