x,y
1.953,3.22
2.15796,3.39115
2.3066,3.5088
2.43696,3.59714
2.56899,3.6666
2.74574,3.73461
2.9634,3.79659
3.16424,3.80417
3.38284,3.70023
3.61444,3.52185
3.75437,3.39056
3.83789,3.29195
3.89866,3.20712
3.95142,3.1198
3.99845,3.0404
4.03563,2.97656
4.06751,2.91749
4.10815,2.84907
4.15461,2.76699
4.20346,2.68509
4.25353,2.60445
4.30727,2.51043
4.3703,2.40105
4.43887,2.28365
4.50208,2.17079
4.56868,2.05468
4.63801,1.93922
4.69771,1.84258
4.75135,1.75752
4.80213,1.66996
4.84863,1.59045
4.88527,1.52698
4.91328,1.47213
4.94086,1.42021
4.96914,1.36592
5.00822,1.30275
5.0505,1.23454
5.0858,1.17516
5.11342,1.12161
5.1409,1.07007
5.16915,1.01589
5.20903,0.951937
5.25938,0.875256
5.32503,0.782088
5.4095,0.662478
5.52151,0.522078
5.7019,0.332646
5.91937,0.126478
6.0491,0.021586
6.12309,-0.0209246
6.22245,-0.0174933
6.40863,0.0324277
6.607,0.0872284
6.75568,0.128946
6.88417,0.172999
6.99221,0.216864
7.07921,0.25263
7.14507,0.280378
7.20061,0.307486
7.25233,0.331907
7.30322,0.358329
7.35759,0.386268
7.42492,0.425657
7.51041,0.471749
7.60565,0.5205
7.70748,0.569736
7.81823,0.616195
7.94282,0.656953
8.1051,0.698626
8.3224,0.725111
8.54991,0.660327
8.76283,0.506212
8.90183,0.368929
8.99069,0.249334
9.06543,0.0940189
9.13273,-0.101917
9.15005,-0.317398
9.05136,-0.590417
8.86421,-0.863538
8.7271,-1.02197
8.6261,-1.11204
8.54046,-1.17486
8.4525,-1.2286
8.36879,-1.27964
8.28763,-1.33031
8.19348,-1.38422
8.08406,-1.44729
7.96665,-1.51587
7.85379,-1.57908
7.73688,-1.64608
7.61374,-1.71925
7.49099,-1.79201
7.36957,-1.86383
7.26287,-1.92437
7.17204,-1.97826
7.08937,-2.0295
7.00222,-2.07986
6.91872,-2.12996
6.83802,-2.17999
6.74772,-2.23
6.65175,-2.2796
6.55677,-2.32576
6.47017,-2.3627
6.38804,-2.39453
6.29319,-2.43516
6.18025,-2.48121
6.05201,-2.52663
5.91786,-2.56707
5.75065,-2.61146
5.5394,-2.6636
5.34324,-2.67668
5.12316,-2.59183
4.85776,-2.40576
4.65416,-2.22041
4.53288,-2.08685
4.44603,-1.96547
4.37044,-1.84518
4.30894,-1.73531
4.25482,-1.63165
4.20352,-1.53047
4.15314,-1.43013
4.10304,-1.33003
4.05301,-1.23001
4.003,-1.13
3.953,-1.0296
3.9026,-0.92496
3.84876,-0.804224
3.7857,-0.659936
3.71753,-0.514614
3.65816,-0.39617
3.60461,-0.300988
3.55347,-0.216929
3.50313,-0.129368
3.45303,-0.0457574
3.40301,0.0345743
3.3534,0.120641
3.30724,0.199709
3.2703,0.263465
3.23847,0.322119
3.19824,0.386693
3.15563,0.455709
3.11983,0.519439
3.08875,0.589912
3.05205,0.6723
3.01907,0.750186
2.99224,0.813195
2.96501,0.868313
2.93683,0.924046
2.89737,0.991776
2.85126,1.07697
2.8029,1.1676
2.7571,1.2487
2.72026,1.31316
2.68846,1.37243
2.64784,1.44131
2.60139,1.52724
2.55253,1.62221
2.50287,1.72063
2.45297,1.82017
2.40299,1.91964
2.3534,2.01537
2.30724,2.09807
2.2707,2.16259
2.24271,2.21815
2.21514,2.2744
2.18726,2.3456
2.15162,2.44082
2.11896,2.54425
2.09221,2.64386
2.065,2.75117
2.03684,2.87439
1.9976,3.03796
1.953,3.22
