x,y,left_distance,right_distance
1.953,3.22,0.917878,0.917878
2.15796,3.39115,0.874643,0.874643
2.3066,3.5088,0.873212,0.873212
2.43696,3.59714,0.832166,0.832166
2.56899,3.6666,0.85,0.85
2.74574,3.73461,0.85,0.85
2.9634,3.79659,0.9,0.9
3.16424,3.80417,0.9,0.9
3.38284,3.70023,0.824621,0.824621
3.61444,3.52185,0.790569,0.790569
3.75437,3.39056,0.777817,0.777817
3.83789,3.29195,0.75,0.75
3.89866,3.20712,0.738241,0.738241
3.95142,3.1198,0.738241,0.738241
3.99845,3.0404,0.75,0.75
4.03563,2.97656,0.763217,0.763217
4.06751,2.91749,0.761577,0.761577
4.10815,2.84907,0.782624,0.782624
4.15461,2.76699,0.781025,0.781025
4.20346,2.68509,0.790569,0.790569
4.25353,2.60445,0.781025,0.781025
4.30727,2.51043,0.763217,0.763217
4.3703,2.40105,0.761577,0.761577
4.43887,2.28365,0.75,0.75
4.50208,2.17079,0.738241,0.738241
4.56868,2.05468,0.761577,0.761577
4.63801,1.93922,0.75,0.75
4.69771,1.84258,0.738241,0.738241
4.75135,1.75752,0.738241,0.738241
4.80213,1.66996,0.738241,0.738241
4.84863,1.59045,0.75,0.75
4.88527,1.52698,0.763217,0.763217
4.91328,1.47213,0.782624,0.782624
4.94086,1.42021,0.761577,0.761577
4.96914,1.36592,0.761577,0.761577
5.00822,1.30275,0.781025,0.781025
5.0505,1.23454,0.75,0.75
5.0858,1.17516,0.763217,0.763217
5.11342,1.12161,0.782624,0.782624
5.1409,1.07007,0.761577,0.761577
5.16915,1.01589,0.761577,0.761577
5.20903,0.951937,0.781025,0.781025
5.25938,0.875256,0.790569,0.790569
5.32503,0.782088,0.781025,0.781025
5.4095,0.662478,0.782624,0.782624
5.52151,0.522078,0.813941,0.813941
5.7019,0.332646,0.85,0.85
5.91937,0.126478,0.894427,0.894427
6.0491,0.021586,0.939415,0.939415
6.12309,-0.0209246,0.948683,0.948683
6.22245,-0.0174933,0.921954,0.921954
6.40863,0.0324277,0.85,0.85
6.607,0.0872284,0.8,0.8
6.75568,0.128946,0.764853,0.764853
6.88417,0.172999,0.743303,0.743303
6.99221,0.216864,0.776209,0.776209
