x,y,type
1.953,3.22,center
2.15796,3.39115,center
2.3066,3.5088,center
2.43696,3.59714,center
2.56899,3.6666,center
2.74574,3.73461,center
2.9634,3.79659,center
3.16424,3.80417,center
3.38284,3.70023,center
3.61444,3.52185,center
3.75437,3.39056,center
3.83789,3.29195,center
3.89866,3.20712,center
3.95142,3.1198,center
3.99845,3.0404,center
4.03563,2.97656,center
4.06751,2.91749,center
4.10815,2.84907,center
4.15461,2.76699,center
4.20346,2.68509,center
4.25353,2.60445,center
4.30727,2.51043,center
4.3703,2.40105,center
4.43887,2.28365,center
4.50208,2.17079,center
4.56868,2.05468,center
4.63801,1.93922,center
4.69771,1.84258,center
4.75135,1.75752,center
4.80213,1.66996,center
4.84863,1.59045,center
4.88527,1.52698,center
4.91328,1.47213,center
4.94086,1.42021,center
4.96914,1.36592,center
5.00822,1.30275,center
5.0505,1.23454,center
5.0858,1.17516,center
5.11342,1.12161,center
5.1409,1.07007,center
5.16915,1.01589,center
5.20903,0.951937,center
5.25938,0.875256,center
5.32503,0.782088,center
5.4095,0.662478,center
5.52151,0.522078,center
5.7019,0.332646,center
5.91937,0.126478,center
6.0491,0.021586,center
6.12309,-0.0209246,center
6.22245,-0.0174933,center
6.40863,0.0324277,center
6.607,0.0872284,center
6.75568,0.128946,center
6.88417,0.172999,center
6.99221,0.216864,center
7.07921,0.25263,center
7.14507,0.280378,center
7.20061,0.307486,center
7.25233,0.331907,center
7.30322,0.358329,center
7.35759,0.386268,center
7.42492,0.425657,center
7.51041,0.471749,center
7.60565,0.5205,center
7.70748,0.569736,center
7.81823,0.616195,center
7.94282,0.656953,center
8.1051,0.698626,center
8.3224,0.725111,center
8.54991,0.660327,center
8.76283,0.506212,center
8.90183,0.368929,center
8.99069,0.249334,center
9.06543,0.0940189,center
9.13273,-0.101917,center
9.15005,-0.317398,center
9.05136,-0.590417,center
8.86421,-0.863538,center
8.7271,-1.02197,center
8.6261,-1.11204,center
8.54046,-1.17486,center
8.4525,-1.2286,center
8.36879,-1.27964,center
8.28763,-1.33031,center
8.19348,-1.38422,center
8.08406,-1.44729,center
7.96665,-1.51587,center
7.85379,-1.57908,center
7.73688,-1.64608,center
7.61374,-1.71925,center
7.49099,-1.79201,center
7.36957,-1.86383,center
7.26287,-1.92437,center
7.17204,-1.97826,center
7.08937,-2.0295,center
7.00222,-2.07986,center
6.91872,-2.12996,center
6.83802,-2.17999,center
6.74772,-2.23,center
6.65175,-2.2796,center
6.55677,-2.32576,center
6.47017,-2.3627,center
6.38804,-2.39453,center
6.29319,-2.43516,center
6.18025,-2.48121,center
6.05201,-2.52663,center
5.91786,-2.56707,center
5.75065,-2.61146,center
5.5394,-2.6636,center
5.34324,-2.67668,center
5.12316,-2.59183,center
4.85776,-2.40576,center
4.65416,-2.22041,center
4.53288,-2.08685,center
4.44603,-1.96547,center
4.37044,-1.84518,center
4.30894,-1.73531,center
4.25482,-1.63165,center
4.20352,-1.53047,center
4.15314,-1.43013,center
4.10304,-1.33003,center
4.05301,-1.23001,center
4.003,-1.13,center
3.953,-1.0296,center
3.9026,-0.92496,center
3.84876,-0.804224,center
3.7857,-0.659936,center
3.71753,-0.514614,center
3.65816,-0.39617,center
3.60461,-0.300988,center
3.55347,-0.216929,center
3.50313,-0.129368,center
3.45303,-0.0457574,center
3.40301,0.0345743,center
3.3534,0.120641,center
3.30724,0.199709,center
3.2703,0.263465,center
3.23847,0.322119,center
3.19824,0.386693,center
3.15563,0.455709,center
3.11983,0.519439,center
3.08875,0.589912,center
3.05205,0.6723,center
3.01907,0.750186,center
2.99224,0.813195,center
2.96501,0.868313,center
2.93683,0.924046,center
2.89737,0.991776,center
2.85126,1.07697,center
2.8029,1.1676,center
2.7571,1.2487,center
2.72026,1.31316,center
2.68846,1.37243,center
2.64784,1.44131,center
2.60139,1.52724,center
2.55253,1.62221,center
2.50287,1.72063,center
2.45297,1.82017,center
2.40299,1.91964,center
2.3534,2.01537,center
2.30724,2.09807,center
2.2707,2.16259,center
2.24271,2.21815,center
2.21514,2.2744,center
2.18726,2.3456,center
2.15162,2.44082,center
2.11896,2.54425,center
2.09221,2.64386,center
2.065,2.75117,center
2.03684,2.87439,center
1.9976,3.03796,center
1.953,3.22,center
1.55824,3.69274,left_edge
1.79688,3.83325,left_edge
1.96756,3.96802,left_edge
2.16562,4.04833,left_edge
2.34529,4.16905,left_edge
2.57358,4.25697,left_edge
2.85875,4.4262,left_edge
3.30978,4.43767,left_edge
3.67606,4.16781,left_edge
3.92374,3.89294,left_edge
4.08831,3.71513,left_edge
4.18438,3.5645,left_edge
4.26474,3.44854,left_edge
4.32167,3.34142,left_edge
4.37848,3.26381,left_edge
4.43581,3.20139,left_edge
4.46649,3.14445,left_edge
4.50543,3.07901,left_edge
4.56103,3.00322,left_edge
4.59559,2.9237,left_edge
4.64811,2.83897,left_edge
4.70535,2.73898,left_edge
4.76732,2.63143,left_edge
4.82148,2.50262,left_edge
4.88356,2.38706,left_edge
4.96454,2.28705,left_edge
5.01462,2.16834,left_edge
5.06978,2.07467,left_edge
5.12657,1.98447,left_edge
5.17503,1.88708,left_edge
5.22971,1.81206,left_edge
5.28808,1.74707,left_edge
5.32042,1.68411,left_edge
5.34711,1.63388,left_edge
5.36732,1.59428,left_edge
5.39848,1.54441,left_edge
5.42717,1.46357,left_edge
5.48677,1.39859,left_edge
5.51996,1.33474,left_edge
5.54696,1.28409,left_edge
5.56678,1.24521,left_edge
5.59536,1.19981,left_edge
5.62341,1.12389,left_edge
5.7001,1.04671,left_edge
5.78104,0.943228,left_edge
5.86998,0.830999,left_edge
6.06173,0.69453,left_edge
6.30027,0.55163,left_edge
6.41725,0.530376,left_edge
6.26749,0.619637,left_edge
6.10307,0.621449,left_edge
6.25098,0.611346,left_edge
6.45964,0.617118,left_edge
6.60787,0.606598,left_edge
6.72425,0.603256,left_edge
6.8088,0.666098,left_edge
6.89883,0.686734,left_edge
6.9645,0.679992,left_edge
7.00184,0.721233,left_edge
7.05763,0.724834,left_edge
7.08155,0.787567,left_edge
7.1354,0.787921,left_edge
7.20971,0.810387,left_edge
7.2971,0.878195,left_edge
7.40129,0.931514,left_edge
7.50053,1.02945,left_edge
7.64089,1.09472,left_edge
7.79742,1.16298,left_edge
8.00422,1.26046,left_edge
8.37716,1.361,left_edge
8.8023,1.16815,left_edge
9.10743,0.922375,left_edge
9.27743,0.702102,left_edge
9.42923,0.510325,left_edge
9.55906,0.293628,left_edge
9.67145,0.00887708,left_edge
9.69257,-0.407765,left_edge
9.45206,-0.800137,left_edge
9.184,-1.10382,left_edge
9.01229,-1.29523,left_edge
8.88894,-1.43291,left_edge
8.77167,-1.51922,left_edge
8.66089,-1.57003,left_edge
8.58656,-1.63265,left_edge
8.5228,-1.72451,left_edge
8.42218,-1.7822,left_edge
8.31448,-1.84428,left_edge
8.18563,-1.89847,left_edge
8.06999,-1.96059,left_edge
7.96834,-2.04247,left_edge
7.83872,-2.09835,left_edge
7.72486,-2.18698,left_edge
7.59081,-2.24512,left_edge
7.47917,-2.29775,left_edge
7.38699,-2.333,left_edge
7.29474,-2.37275,left_edge
7.20131,-2.41806,left_edge
7.13466,-2.4841,left_edge
7.03999,-2.52525,left_edge
6.93278,-2.57606,left_edge
6.82768,-2.6304,left_edge
6.72938,-2.70292,left_edge
6.62945,-2.75351,left_edge
6.55418,-2.80035,left_edge
6.46992,-2.85879,left_edge
6.34694,-2.92075,left_edge
6.19195,-2.95431,left_edge
6.05334,-3.04836,left_edge
5.88658,-3.1444,left_edge
