x,y
-1.437022367900844699e+00,1.560352425937272969e+00
-1.452373054429029420e+00,1.604009717536417856e+00
-1.468122054687844402e+00,1.647532979775429229e+00
-1.484302984635943456e+00,1.690910669875809180e+00
-1.501004237341265313e+00,1.734133545001516286e+00
-1.518183787011530450e+00,1.777194610556604326e+00
-1.535921559101732781e+00,1.820088993785514919e+00
-1.554166659878569279e+00,1.862814384258653089e+00
-1.572989834328608172e+00,1.905370686504581634e+00
-1.600725711084857394e+00,1.947760401288228582e+00
-1.620619509151273840e+00,1.989988215633113455e+00
-1.649340593402440991e+00,2.032061101339615483e+00
-1.678527127849094081e+00,2.073988431714917091e+00
-1.708147939322450570e+00,2.107378190576020049e+00
-1.738166782676821231e+00,2.149050979271135198e+00
-1.768542503349801454e+00,2.182214949326182207e+00
-1.799229252699369397e+00,2.223694186108507775e+00
-1.830109097569721399e+00,2.256699716713011394e+00
-1.861186044800665851e+00,2.289654517649398535e+00
-1.892333636958422272e+00,2.330982369940085341e+00
-1.923547944203322757e+00,2.363896704312462127e+00
-1.954695416216998050e+00,2.396822079432737951e+00
-1.985698300849160436e+00,2.438183022442119263e+00
-2.016476062260892821e+00,2.471192874877073731e+00
-2.046945912538082890e+00,2.512678786920410356e+00
-2.077023372269910517e+00,2.545852708323290692e+00
-2.106622855151825124e+00,2.579136417292080985e+00
-2.135658271369831329e+00,2.620950434442636201e+00
-2.164043644255553289e+00,2.662906463578889049e+00
-2.191693734471661159e+00,2.705018119075450311e+00
-2.218524665798189410e+00,2.747297303821722103e+00
-2.244454546446923882e+00,2.789754119421022693e+00
-2.269404079739056890e+00,2.832329318777803806e+00
-2.293297157947928433e+00,2.875019907273755670e+00
-2.316061433139913639e+00,2.917887697305868500e+00
-2.337628692811340780e+00,2.960933487730536218e+00
-2.357935742417038405e+00,3.004088574889484331e+00
-2.376924488573926464e+00,3.047408359621564866e+00
-2.394542736129587457e+00,3.090819878771638773e+00
-2.402340675801311942e+00,3.134374545144686497e+00
-2.417026493392446795e+00,3.177995726691831724e+00
-2.421826695835354037e+00,3.221663871620061848e+00
-2.425058994766456699e+00,3.265425271067466717e+00
-2.426711218465686493e+00,3.309266425845606374e+00
-2.426777488047719977e+00,3.353164801540724937e+00
-2.425258269824632329e+00,3.397097617441512618e+00
-2.422160364463104454e+00,3.441109715472368435e+00
-2.409093115283434727e+00,3.485120278615088552e+00
-2.402950466518844586e+00,3.529175644449314753e+00
-2.386959883012663930e+00,3.573256003714921025e+00
-2.377969807789099832e+00,3.617284150034514756e+00
-2.359220409266619800e+00,3.661310591287935789e+00
-2.339168882296132068e+00,3.705320194467523365e+00
-2.317874298207879935e+00,3.749240874226302367e+00
-2.295400827429415092e+00,3.793128636240625795e+00
-2.271817251181393882e+00,3.836915068312100274e+00
-2.247196433832574058e+00,3.880659987405649325e+00
-2.221614761709849173e+00,3.924357736904458882e+00
-2.195151554430254226e+00,3.967945895090438935e+00
-2.167888455012549009e+00,4.011431086437116988e+00
-2.139908805141184089e+00,4.054821274375203011e+00
-2.111297012000416640e+00,4.098125683837261057e+00
-2.082137913076506308e+00,4.132951197724068493e+00
-2.052516145246344514e+00,4.167713108769046215e+00
-2.022515524335875892e+00,4.210827591192831676e+00
-1.992218441144726571e+00,4.253904151547197365e+00
-1.961705279930612722e+00,4.288552819021845153e+00
-1.931053864036623491e+00,4.331594821124811645e+00
-1.900338934944103553e+00,4.366237110501933749e+00
-1.869631668372844446e+00,4.409300903281124562e+00
-1.838990656144403824e+00,4.443992696160936617e+00
-1.808470210267018041e+00,4.478729303041042442e+00
-1.778187255589453564e+00,4.521926759511234906e+00
-1.748186967358991595e+00,4.565192737261790867e+00
-1.718509936460059340e+00,4.600133728680980028e+00
-1.689191950032431055e+00,4.643565582294995053e+00
-1.660263827505056522e+00,4.687091961844696009e+00
-1.631683657564150680e+00,4.730718206771351575e+00
-1.611925164435025870e+00,4.774448096046999268e+00
-1.592590417123699531e+00,4.818283378777733716e+00
-1.573747472448114415e+00,4.862223924691008392e+00
-1.555265810458047682e+00,4.906267850358323912e+00
-1.537262573451894099e+00,4.950411130682109473e+00
-1.519656651111304102e+00,4.994647829212832235e+00
-1.502421486615053814e+00,5.038970301598435952e+00
-1.485526234358925946e+00,5.083368880300191961e+00
-1.468936039914723768e+00,5.127832339072980083e+00
-1.452612358789310942e+00,5.172279959969245056e+00
-1.436513309735767630e+00,5.216687701012418188e+00
-1.420594057982344172e+00,5.261029374275238979e+00
-1.404807223451292497e+00,5.305276547095876261e+00
-1.389103308838671058e+00,5.349398678395530737e+00
-1.373431142314989417e+00,5.393363271336634845e+00
-1.357738329580133740e+00,5.437195121191755298e+00
-1.341971710057653588e+00,5.480850619949432456e+00
-1.326077812135318945e+00,5.524226482148576700e+00
-1.310003302542291692e+00,5.567285782132111116e+00
-1.293695425189350878e+00,5.610049594609213486e+00
-1.277102425079776449e+00,5.652412268403288031e+00
-1.260173953214599685e+00,5.694394237988844587e+00
-1.234457948763085344e+00,5.735889662248712106e+00
-1.216715209516847640e+00,5.776919037811308222e+00
-1.198498336912908746e+00,5.817436091582274926e+00
-1.179766029097672586e+00,5.857336795938728358e+00
-1.160480052552676167e+00,5.896585093852609205e+00
-1.140605679334425693e+00,5.935204757882214466e+00
-1.120111495628039577e+00,5.973094702587566474e+00
-1.090566215145234885e+00,6.010222738009312060e+00
-1.060349887286811565e+00,6.046558169602638699e+00
-1.037786971890702681e+00,6.082072044044974923e+00
-1.014465636355722733e+00,6.116737381417921782e+00
-9.819769872683008494e-01,6.150529388756019955e+00
