# x_m,y_m,w_tr_right_m,w_tr_left_m
10.940262,16.302650,0.775000,1.050000
10.923271,16.259197,0.775000,1.000000
10.896166,16.216796,0.775000,1.025000
10.875746,16.175527,3.600000,1.000000
10.853761,16.135643,0.850000,0.975000
10.830175,16.097397,0.800000,1.050000
10.796495,16.060854,0.775000,1.050000
10.761159,16.026148,0.800000,1.075000
10.724221,15.993394,0.775000,1.150000
10.685826,15.971199,0.800000,1.225000
10.645962,15.942756,0.775000,1.300000
10.604732,15.924926,0.825000,1.325000
10.562248,15.900927,0.800000,1.450000
10.518627,15.887562,0.775000,1.525000
10.474066,15.868093,0.825000,1.525000
10.428581,15.867600,0.950000,1.350000
10.382291,15.860788,0.800000,1.350000
10.335307,15.855955,0.800000,1.300000
10.287808,15.853085,0.750000,1.250000
10.239786,15.851967,0.800000,1.150000
10.191328,15.860968,0.800000,1.100000
10.142510,15.863060,0.750000,1.100000
10.093473,15.866611,0.750000,1.050000
10.044251,15.871409,0.750000,0.950000
9.994874,15.885727,0.700000,1.000000
9.945368,15.892661,0.750000,1.000000
9.895757,15.900525,0.775000,0.950000
9.846061,15.909133,0.800000,0.900000
9.796296,15.918586,0.825000,0.875000
9.746478,15.937037,0.775000,0.875000
9.696617,15.947685,0.800000,0.850000
9.646725,15.958685,0.800000,0.850000
9.596809,15.970067,0.825000,0.775000
9.546876,15.990260,0.825000,0.825000
9.496931,16.002304,0.825000,0.775000
9.446980,16.022927,0.875000,0.775000
9.397027,16.035164,0.825000,0.825000
9.347076,16.055948,0.825000,0.775000
9.297129,16.068316,0.850000,0.750000
9.247191,16.080600,0.825000,0.775000
9.197265,16.101055,0.875000,0.750000
9.147355,16.112910,0.900000,0.750000
9.097465,16.124610,0.925000,0.725000
9.047600,16.144427,0.925000,0.725000
8.997764,16.155508,0.950000,0.700000
8.947963,16.166135,0.950000,0.700000
8.898201,16.176473,1.000000,0.650000
8.848484,16.186513,0.975000,0.725000
8.798924,16.204443,0.975000,0.675000
8.749457,16.213311,1.050000,0.700000
8.700097,16.221649,1.100000,0.650000
8.650859,16.229214,1.075000,0.650000
8.601760,16.244512,1.050000,0.700000
8.552813,16.250467,1.150000,0.700000
8.504033,16.255563,1.200000,0.700000
8.455431,16.259587,1.200000,0.700000
8.407018,16.262319,1.200000,0.750000
8.358800,16.272115,1.250000,0.800000
8.310780,16.272010,1.400000,0.750000
8.262958,16.270178,1.450000,0.750000
8.215330,16.266575,1.450000,0.800000
8.167890,16.269464,1.450000,0.900000
8.120735,16.270321,1.625000,0.800000
8.082190,16.252239,1.400000,0.800000
8.035447,16.231875,1.425000,0.800000
7.989019,16.217686,1.375000,0.800000
7.942840,16.192842,1.250000,0.825000
7.897034,16.174157,1.250000,0.775000
7.851553,16.144783,1.150000,0.800000
7.806427,16.121689,1.100000,0.750000
7.761798,16.088149,1.025000,0.800000
7.717628,16.052668,1.000000,0.750000
7.674061,16.015367,0.950000,0.775000
7.631059,15.976301,0.925000,0.775000
7.588653,15.935711,0.900000,0.825000
7.546969,15.893735,0.850000,0.825000
7.505946,15.850515,0.900000,0.750000
7.474091,15.806114,0.850000,0.775000
7.434514,15.760686,0.825000,0.775000
7.395625,15.714531,0.800000,0.800000
7.365820,15.667734,0.825000,0.775000
7.328353,15.620300,0.825000,0.775000
7.299904,15.572408,0.825000,0.775000
7.263609,15.524048,0.800000,0.800000
7.227916,15.475378,0.825000,0.800000
7.201090,15.426372,0.800000,0.750000
7.166258,15.377172,0.800000,0.800000
7.140268,15.327810,0.800000,0.800000
7.106172,15.278316,0.825000,0.775000
7.072418,15.228713,0.800000,0.800000
7.047275,15.179022,0.850000,0.750000
7.013988,15.129262,0.800000,0.800000
6.989239,15.079445,0.800000,0.800000
6.956097,15.029586,0.800000,0.800000
6.931533,14.979692,0.800000,0.800000
6.898618,14.929773,0.800000,0.800000
6.874153,14.879834,0.800000,0.800000
6.841321,14.829879,0.775000,0.825000
6.808525,14.779914,0.800000,0.800000
6.784167,14.729940,0.800000,0.800000
6.751415,14.679961,0.825000,0.800000
6.718676,14.629978,0.800000,0.800000
6.694359,14.579993,0.775000,0.800000
6.661663,14.530008,0.775000,0.800000
6.637399,14.480024,0.775000,0.850000
6.604735,14.430041,0.800000,0.800000
6.580484,14.380062,0.775000,0.800000
6.547838,14.330089,0.800000,0.800000
6.515201,14.280124,0.775000,0.800000
6.490978,14.230169,0.725000,0.850000
6.458358,14.180231,0.775000,0.800000
6.434147,14.130312,0.775000,0.850000
6.401430,14.080420,0.800000,0.800000
6.377189,14.030562,0.775000,0.800000
6.344509,13.980748,0.750000,0.825000
6.311791,13.930989,0.775000,0.800000
6.287433,13.881299,0.775000,0.850000
6.254703,13.831694,0.800000,0.800000
6.230225,13.782195,0.750000,0.850000
6.197260,13.732824,0.775000,0.825000
6.164203,13.683606,0.800000,0.850000
6.139442,13.634572,0.750000,0.850000
6.106051,13.585860,0.800000,0.800000
6.080888,13.537438,0.750000,0.825000
6.047089,13.489459,0.800000,0.800000
6.021326,13.442013,0.750000,0.825000
5.986828,13.395094,0.725000,0.850000
5.951852,13.348885,0.775000,0.825000
5.924832,13.303394,0.775000,0.825000
5.888810,13.258813,0.725000,0.850000
5.860620,13.215156,0.800000,0.850000
5.823386,13.172615,0.750000,0.875000
5.793775,13.131304,0.700000,0.900000
5.755027,13.091439,0.750000,0.900000
