center_x,center_y,left_distance,right_distance
9.600000000000001421e+00,1.285000000000000142e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.270000000000000107e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.255000000000000071e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.240000000000000036e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.225000000000000000e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.210000000000000142e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.195000000000000107e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.180000000000000071e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.165000000000000036e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.150000000000000000e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.135000000000000142e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.120000000000000107e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.105000000000000071e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.090000000000000036e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.075000000000000000e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.060000000000000142e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.045000000000000107e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.030000000000000071e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.015000000000000036e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,1.000000000000000000e+01,1.450000000000000178e+00,1.375000000000000000e+00
9.600000000000001421e+00,9.850000000000001421e+00,1.525000000000000133e+00,1.450000000000000178e+00
9.700000000000001066e+00,9.700000000000001066e+00,1.725000000000000089e+00,1.925000000000000044e+00
9.850000000000001421e+00,9.550000000000000711e+00,1.675000000000000044e+00,1.600000000000000089e+00
1.000000000000000000e+01,9.400000000000000355e+00,1.250000000000000000e+00,1.775000000000000133e+00
1.005000000000000071e+01,9.250000000000000000e+00,1.000000000000000000e+00,1.875000000000000000e+00
1.005000000000000071e+01,9.099999999999999645e+00,1.000000000000000000e+00,1.825000000000000178e+00
1.005000000000000071e+01,8.950000000000001066e+00,1.000000000000000000e+00,1.825000000000000178e+00
1.005000000000000071e+01,8.800000000000000711e+00,1.000000000000000000e+00,1.825000000000000178e+00
1.005000000000000071e+01,8.650000000000000355e+00,1.000000000000000000e+00,1.825000000000000178e+00
