center_x,center_y,left_distance,right_distance
5.797000000000000597e+00,1.717999999999999972e+01,7.750000000000000222e-01,7.750000000000000222e-01
5.697000000000000064e+00,1.703000000000000114e+01,7.750000000000000222e-01,6.500000000000000222e-01
5.597000000000000419e+00,1.687999999999999901e+01,7.750000000000000222e-01,6.500000000000000222e-01
5.546999999999999709e+00,1.673000000000000043e+01,8.250000000000000666e-01,7.250000000000000888e-01
5.496999999999999886e+00,1.658000000000000185e+01,7.500000000000000000e-01,7.750000000000000222e-01
5.397000000000000242e+00,1.642999999999999972e+01,7.750000000000000222e-01,7.750000000000000222e-01
5.296999999999999709e+00,1.628000000000000114e+01,8.250000000000000666e-01,7.000000000000000666e-01
5.246999999999999886e+00,1.612999999999999901e+01,7.500000000000000000e-01,7.750000000000000222e-01
5.147000000000000242e+00,1.598000000000000043e+01,7.750000000000000222e-01,7.750000000000000222e-01
5.097000000000000419e+00,1.583000000000000185e+01,7.000000000000000666e-01,7.750000000000000222e-01
4.996999999999999886e+00,1.567999999999999972e+01,7.750000000000000222e-01,7.750000000000000222e-01
4.897000000000000242e+00,1.553000000000000114e+01,8.250000000000000666e-01,7.500000000000000000e-01
4.847000000000000419e+00,1.537999999999999901e+01,7.750000000000000222e-01,7.750000000000000222e-01
4.746999999999999886e+00,1.523000000000000043e+01,7.750000000000000222e-01,7.750000000000000222e-01
4.647000000000000242e+00,1.508000000000000185e+01,8.250000000000000666e-01,7.500000000000000000e-01
4.597000000000000419e+00,1.492999999999999972e+01,7.750000000000000222e-01,7.750000000000000222e-01
4.496999999999999886e+00,1.478000000000000114e+01,7.750000000000000222e-01,7.500000000000000000e-01
4.447000000000000064e+00,1.462999999999999901e+01,7.500000000000000000e-01,7.750000000000000222e-01
4.347000000000000419e+00,1.448000000000000043e+01,7.750000000000000222e-01,7.500000000000000000e-01
4.297000000000000597e+00,1.433000000000000007e+01,7.750000000000000222e-01,7.750000000000000222e-01
4.246999999999999886e+00,1.417999999999999972e+01,7.250000000000000888e-01,8.250000000000000666e-01
4.197000000000000064e+00,1.403000000000000114e+01,7.250000000000000888e-01,8.250000000000000666e-01
4.147000000000000242e+00,1.387999999999999901e+01,7.000000000000000666e-01,9.000000000000000222e-01
4.147000000000000242e+00,1.373000000000000043e+01,7.000000000000000666e-01,9.500000000000000666e-01
4.097000000000000419e+00,1.358000000000000007e+01,2.725000000000000089e+00,1.000000000000000000e+00
4.097000000000000419e+00,1.342999999999999972e+01,2.625000000000000000e+00,1.050000000000000044e+00
4.047000000000000597e+00,1.328000000000000114e+01,2.825000000000000178e+00,1.200000000000000178e+00
4.097000000000000419e+00,1.312999999999999901e+01,9.750000000000000888e-01,1.074999999999999956e+00
