center_x,center_y,left_distance,right_distance
5.447000,11.980000,0.583095,0.583095
5.397000,12.030000,0.626498,0.626498
5.397000,12.080000,0.670820,0.670820
5.397000,12.130000,0.694622,0.694622
5.397000,12.180000,0.715891,0.715891
5.347000,12.230000,0.782624,0.782624
5.347000,12.280000,0.806226,0.806226
5.347000,12.330000,0.832166,0.832166
5.297000,12.380000,0.894427,0.894427
5.297000,12.430000,0.930054,0.930054
5.297000,12.480000,0.960469,0.960469
5.297000,12.530000,0.984886,0.984886
5.247000,12.580000,0.955249,0.955249
5.197000,12.580000,0.951315,0.951315
5.297000,12.630000,0.912414,0.912414
5.147000,12.630000,0.900000,0.900000
5.347000,12.630000,0.921954,0.921954
5.097000,12.630000,0.900000,0.900000
5.397000,12.680000,0.886002,0.886002
5.047000,12.630000,0.900000,0.900000
5.447000,12.680000,0.901388,0.901388
4.997000,12.630000,0.900000,0.900000
5.497000,12.730000,0.873212,0.873212
4.947000,12.680000,0.850000,0.850000
5.547000,12.780000,0.850000,0.850000
4.897000,12.680000,0.851469,0.851469
5.597000,12.780000,0.850000,0.850000
4.847000,12.680000,0.855862,0.855862
5.647000,12.830000,0.827647,0.827647
4.797000,12.680000,0.863134,0.863134
5.697000,12.880000,0.806226,0.806226
4.747000,12.680000,0.873212,0.873212
5.697000,12.930000,0.813941,0.813941
4.697000,12.730000,0.838153,0.838153
5.747000,12.980000,0.813941,0.813941
4.647000,12.730000,0.854400,0.854400
5.797000,13.030000,0.806226,0.806226
4.597000,12.730000,0.850000,0.850000
5.847000,13.080000,0.782624,0.782624
4.547000,12.780000,0.850000,0.850000
5.847000,13.130000,0.790569,0.790569
4.497000,12.780000,0.850000,0.850000
5.897000,13.180000,0.782624,0.782624
4.447000,12.830000,0.860233,0.860233
5.897000,13.230000,0.782624,0.782624
4.397000,12.830000,0.832166,0.832166
5.947000,13.280000,0.790569,0.790569
4.347000,12.880000,0.850000,0.850000
5.947000,13.330000,0.781025,0.781025
4.297000,12.930000,0.873212,0.873212
5.997000,13.380000,0.790569,0.790569
4.247000,12.980000,0.884590,0.884590
6.047000,13.430000,0.782624,0.782624
4.197000,12.980000,0.860233,0.860233
6.047000,13.480000,0.782624,0.782624
4.147000,13.030000,0.874643,0.874643
6.097000,13.530000,0.782624,0.782624
4.097000,13.080000,0.894427,0.894427
6.097000,13.580000,0.782624,0.782624
4.047000,13.130000,0.917878,0.917878
6.147000,13.630000,0.790569,0.790569
4.047000,13.180000,0.917878,0.917878
6.147000,13.680000,0.781025,0.781025
3.997000,13.230000,0.939415,0.939415
6.197000,13.730000,0.790569,0.790569
3.947000,13.230000,0.961769,0.961769
3.947000,13.280000,0.939415,0.939415
6.247000,13.780000,0.782624,0.782624
3.897000,13.230000,0.917878,0.917878
3.997000,13.330000,0.901388,0.901388
6.247000,13.830000,0.781025,0.781025
3.847000,13.180000,0.873212,0.873212
3.997000,13.380000,0.886002,0.886002
6.297000,13.880000,0.782624,0.782624
3.797000,13.180000,0.850000,0.850000
3.997000,13.430000,0.873212,0.873212
6.297000,13.930000,0.763217,0.763217
3.747000,13.180000,0.806226,0.806226
3.997000,13.480000,0.863134,0.863134
6.347000,13.980000,0.782624,0.782624
3.697000,13.130000,0.750000,0.750000
