x,y
5.772178,17.192411
5.655015,17.057990
5.541107,16.907946
5.509896,16.742368
5.503327,16.576837
5.434062,16.405292
5.350050,16.253475
5.303082,16.101959
5.207968,15.949516
5.161397,15.797802
5.046311,15.647126
4.918135,15.519432
4.826482,15.390259
4.698300,15.262466
4.585882,15.110559
4.547118,14.954941
4.462309,14.797345
4.414269,14.646366
4.293400,14.506800
4.197237,14.363254
4.103902,14.227699
4.040196,14.082268
4.018062,13.901490
4.082188,13.740802
4.077071,13.583322
4.058855,13.436358
3.929198,13.280000
3.918975,13.040988
4.048415,12.831415
4.292084,12.770167
4.500453,12.850718
4.669708,12.966249
4.850964,12.941891
4.968430,12.858581
5.109388,12.804331
5.238756,12.729465
5.372322,12.829357
5.525973,12.893082
5.653571,12.934286
5.740518,13.067655
5.838172,13.209414
5.896902,13.355049
6.019811,13.498126
6.139975,13.634684
6.242593,13.782203
6.274343,13.941329
6.356286,14.107143
6.451270,14.260487
6.558853,14.399074
6.623212,14.541894
6.729629,14.691581
6.822555,14.846296
6.908003,14.999498
6.953292,15.151854
7.062323,15.303118
7.161126,15.453916
7.222592,15.617204
7.198119,15.804440
7.246479,16.047101
7.367149,16.259851
7.529654,16.440816
7.755557,16.562887
7.943309,16.589227
8.147000,16.618917
8.356547,16.508640
8.466977,16.399865
8.605120,16.328721
8.744837,16.223512
8.891411,16.146464
9.040689,16.142134
9.184916,16.093749
9.327900,16.041800
9.479647,15.945294
9.645996,15.926989
9.807639,15.943835
9.967040,16.000238
10.131057,15.932170
10.246909,15.779453
10.397000,15.617992
10.596798,15.481210
10.859330,15.505339
11.071223,15.705777
11.107886,15.999557
11.004008,16.228832
10.876699,16.400050
10.901756,16.578415
11.004462,16.695423
11.103688,16.828662
11.252638,16.951128
11.222417,17.167709
11.238460,17.350730
11.145863,17.579090
11.000830,17.734787
10.806557,17.819335
10.594681,17.875361
10.413609,17.863218
10.255539,17.917809
10.098737,18.007605
9.949640,18.108960
9.786210,18.208420
9.624868,18.235735
9.460793,18.300689
9.289370,18.368556
9.128181,18.442362
8.976647,18.489294
8.839719,18.619078
8.717802,18.771604
8.579279,18.876836
8.434871,18.943613
8.261791,18.968744
8.102520,18.913118
7.941218,18.912653
7.789222,18.933330
7.638851,18.931109
7.488476,19.004427
7.347000,19.093527
7.224415,19.086462
7.048814,19.076372
6.879033,19.015933
6.713547,18.996906
6.505713,18.871287
6.390450,18.684366
6.313395,18.519070
6.244057,18.348629
6.179549,18.163726
6.177068,17.986644
6.163108,17.821946
6.069175,17.665217
5.963667,17.521666
