x,y
5.174583846483720606e+00,7.093099384143103592e+00
5.201785069223785918e+00,7.063602768041871371e+00
5.229964629913591345e+00,7.026377293087560538e+00
5.259112208636956609e+00,6.989840132264767192e+00
5.289214258075037201e+00,6.954002469892895277e+00
5.320253671539461493e+00,6.918872884085216057e+00
5.352210249911199647e+00,6.884457247638718691e+00
5.385060665070192876e+00,6.850758650425417429e+00
5.418778625282735462e+00,6.826180678237255606e+00
5.453335073279362177e+00,6.793913377322551739e+00
5.488698413370443951e+00,6.762355007677991914e+00
5.524834763525816150e+00,6.739900643838495853e+00
5.561640571607223471e+00,6.718067947425030439e+00
5.599136395955873091e+00,6.688429864146550941e+00
5.637214597626720725e+00,6.667766706758527562e+00
5.675824570301543304e+00,6.647644547717639796e+00
5.714981600066353806e+00,6.628029515373707881e+00
5.754573830396052969e+00,6.608884837142247726e+00
5.794614956780177906e+00,6.590170874987444805e+00
5.835051033809570242e+00,6.563441860025420738e+00
5.875760766741567664e+00,6.545460320798364151e+00
5.916690206411221453e+00,6.527775996095742883e+00
5.957785372048648220e+00,6.510340370267042154e+00
5.998992526151797122e+00,6.493103518384589101e+00
6.040258444245247382e+00,6.476014689993788487e+00
6.081598335376930287e+00,6.459022535461207859e+00
6.122902608099460409e+00,6.442075295086004516e+00
6.164122073122333845e+00,6.425121591240769092e+00
6.205209099514054749e+00,6.408110684775184751e+00
6.246117841289791528e+00,6.390992899162751151e+00
6.286804454049159219e+00,6.373720041612534359e+00
6.327354036971739148e+00,6.347842316421602682e+00
6.367543131238555532e+00,6.330063808788897184e+00
6.407344593732419824e+00,6.312006443786716048e+00
6.446800847530161249e+00,6.293631074703458950e+00
6.485830582444481074e+00,6.274901977572630685e+00
6.524481540338703311e+00,6.255786939595537000e+00
6.562745751407305761e+00,6.236257904705145627e+00
6.600618779473945708e+00,6.216291038583115380e+00
6.638099854925831877e+00,6.195807838940624812e+00
6.675191971329355489e+00,6.174927895794219523e+00
6.711901942552974454e+00,6.153582013695720221e+00
6.739836917771306446e+00,6.123369954967998297e+00
6.775818732882382456e+00,6.092644629052455407e+00
6.803058578585410743e+00,6.061545248491738036e+00
6.829981923127434129e+00,6.030030908450779492e+00
6.865017844087227594e+00,5.998065440414086957e+00
6.891387773828835606e+00,5.965743135537421082e+00
6.925930506328343839e+00,5.933103631215720597e+00
6.951873146263703340e+00,5.900190787343573717e+00
6.977655874503073008e+00,5.867043642931116132e+00
7.003317585647736543e+00,5.833705033287583497e+00
7.028898787276911087e+00,5.800229626924489068e+00
7.054441196248378176e+00,5.766674767206273700e+00
7.079987320259650829e+00,5.733167893156275952e+00
7.113983531077103351e+00,5.699780276958495762e+00
7.139665255854282577e+00,5.666518035913771456e+00
7.165478310743500501e+00,5.633515189229403752e+00
7.191464108251133247e+00,5.600848251137022338e+00
7.217662762845752589e+00,5.568594846521980557e+00
7.244112720165589714e+00,5.536833235258773911e+00
7.279253915520197182e+00,5.505641828521435244e+00
7.306312918830156988e+00,5.475090123887116356e+00
7.333724963605664726e+00,5.445246916287171501e+00
7.369922409951920272e+00,5.416187971314508687e+00
7.398123685883991385e+00,5.387987189777010855e+00
7.435158410269423257e+00,5.360648487336860057e+00
7.472642041599691254e+00,5.334298838425976186e+00
7.510590208741182217e+00,5.309002896020492912e+00
7.549015204120145484e+00,5.284821673052744195e+00
7.587926018019023999e+00,5.270215837246944091e+00
7.627328411438909050e+00,5.248430613466164019e+00
7.667225024370646125e+00,5.236320949261301649e+00
7.707674595474106383e+00,5.217181725126428304e+00
7.748607171685517159e+00,5.207850404919590837e+00
7.790009209230483123e+00,5.199948652452976106e+00
